FEWSNET_admin_code,lat,lon
526,10.475755281830724,25.648730463990564
527,12.761663413175835,22.73679440334185
528,10.00906091580171,26.74749668579472
529,12.8891425444303,22.04402639495828
530,11.877866371626697,22.804496128842267
531,10.53638125514772,25.136292234486017
532,10.778127416115383,24.51484610553036
533,11.51682827360201,30.0593045232562
534,11.91366003570182,29.506011925821124
535,12.240614825783798,22.60031657239888
536,10.70848640136519,31.105987518447368
537,11.972320759551891,30.0015691934246
538,12.67568619367161,22.45416498316416
539,11.150907091500684,30.54495067653563
540,11.096903895060294,29.51829723809928
541,10.957962241368172,24.27650105462541
542,10.53877248604977,29.38459061494077
543,12.991795027877153,22.673929448471448
544,11.550430051830398,23.298336147257984
545,10.970621060599017,23.512404599802835
546,10.54461348992189,30.408125614400973
547,11.097474652860518,24.751205798112498
548,10.55344933467518,23.763499905518305
549,11.377411997046202,23.095327532509923
550,12.734611466590502,31.261824689963248
551,12.525247791320425,31.58607788161335
552,12.597099068304756,33.87237496832187
553,11.35306811999617,31.935727378787146
554,11.95301127275033,30.792802599197923
555,12.526836587963048,33.43812228519308
556,12.732616325073993,34.80504364466968
557,12.674098457406757,32.985078433663595
558,10.730080943281704,29.85641177951204
559,14.6429313954175,35.00549118028695
560,14.274263013038482,35.93257216651998
561,13.535521089713509,35.368220436496784
562,10.52602388715119,34.11133346885104
563,10.076872563603814,30.919961312936824
564,13.630565497507265,34.568908164138215
565,13.72087409690026,36.06662182214176
566,13.233515422190862,34.80865605220605
567,11.805770494443056,31.00241498668544
568,11.102479875266752,29.937022942121395
569,12.172274720944149,34.605040381224754
570,12.3674459111582,32.30540696640991
571,12.89500364978042,34.188193004818245
572,11.66310470400972,33.63948997512896
573,12.097626701315493,31.772559430163938
574,12.93407527452484,35.838136225655354
575,11.133071236611874,33.80094983916329
576,11.679947244342271,30.410126970513907
577,12.054299606835656,34.21201957997636
578,13.335568128270758,35.10367303122361
579,13.378561017231704,35.80087849830104
580,11.119712706559133,34.683528786263004
581,13.013378270068616,32.46274263884602
582,12.030329442121738,30.309125165146096
583,11.21529222626625,30.410567498081537
584,13.707154643208504,33.50098852293356
585,10.995504521778708,29.7041175790441
586,12.885577608618693,32.62874219186325
587,14.031354564330291,35.37752194438846
588,14.106574470883348,33.7482203039614
589,13.424442381395451,32.80595176623065
590,14.959096207367743,36.33253959728032
591,14.5671253875326,36.187895826658746
592,13.471443330628023,33.25169240836913
593,13.75630492084124,33.863478655504515
594,13.111313350453544,33.717875109464885
595,10.742955945795073,30.36586509128908
596,12.821615657733936,31.99492081622968
597,10.902937336501129,30.14435866513065
598,12.793021335151057,31.602719505930608
599,11.625305821909834,34.79645184483841
600,14.164473406931783,35.07712040314337
601,12.729333854095763,34.073127614317066
602,13.863294176331385,32.341581113754714
603,12.677815041118585,32.81416935122705
604,13.966453445807923,34.05810309044906
605,14.087329047594542,32.31836847808816
606,14.75118050631378,33.299829230807035
607,15.195750839996242,32.99721728428751
608,13.66730357965976,34.29644757887545
609,12.099039892561017,34.37331070542605
610,12.9646022770401,34.02974189028086
611,15.992336730682254,32.59302017741898
612,12.15914881056274,34.31298951095599
613,11.447282367529178,34.58193346376908
614,13.52357460456762,32.51707462028368
615,14.024732896731315,33.572544226163345
616,15.415951273497887,32.55605777013235
617,16.014833622122936,32.55149310030272
618,15.554517947146731,32.56403780067083
619,12.876281421202677,32.759467149729225
620,15.445236826957098,36.38774032451652
621,14.348199375042585,33.60138467649912
622,13.334833897316525,32.64580545552872
623,15.839474606091729,36.31470435258625
624,15.39837562673382,36.41969495204657
625,16.073297187457527,36.271489960347246
626,14.949127286889002,33.26052452281944
627,13.778917502339755,33.79690676793791
628,13.235077464011754,33.826101944392114
629,14.225646255713798,33.79167614704275
630,15.493069182402856,32.45899407314349
631,11.437654788092631,34.65698606452618
632,17.02856057728475,30.65206399835812
633,17.299917585503252,33.00159218509875
634,15.027130154858758,32.18723447558195
635,16.895389141130554,28.4126571974906
636,15.972841335092546,25.857172993328
637,16.730751820270946,32.66182181635003
638,17.84119921932829,32.90491234387004
639,15.4214972126132,23.20718979334768
640,18.168758999349585,33.469186930643964
641,15.4984824713713,30.97973032157322
642,16.097986471091414,32.32374003343319
643,15.387509457527589,23.643127043463927
644,17.613462729048237,32.06031458592081
645,15.54069059502702,28.44169139255953
646,16.127904065012373,32.07123822977977
647,15.755521364243888,24.245222635089554
648,15.462007582757977,32.316078527266484
649,14.586981938852723,31.89735816174555
650,14.131927120405448,31.87257176097684
651,13.46089870297481,22.35576281186796
652,13.769784732444943,25.541157242132577
653,13.361260074510874,28.968516664554382
654,14.09587545565513,27.288252775848296
655,12.80506583791012,25.09411860924728
656,11.064172033447544,26.6974708988809
657,11.5375986846241,26.55042070874652
658,11.420313756972742,26.200741034185725
659,11.38672456254976,27.003704519535088
660,10.953048065747153,25.897094771793608
661,11.521837090011164,27.4518873307776
662,10.205385815099794,24.56970830810016
663,11.648241810439153,24.76454500691941
664,11.606142573827972,27.99803157567008
665,11.672855214051747,25.992082713553927
666,10.743890551477458,25.544892403128205
667,11.33211786694034,27.564527636194708
668,10.969096897383674,26.23772846810983
669,11.948623187573178,25.13256794804049
670,10.765999078473415,25.07853548595339
671,11.680975345416943,24.33300390318856
672,11.133086383646736,25.36870153144761
673,12.273176237528734,24.26395228012726
674,11.262332227883892,24.318358396811863
675,11.776744006375226,23.93900588602754
676,12.40443898988958,24.987644417962844
677,11.724669400415555,23.49428835775165
678,12.398027204393024,25.24208702281296
679,12.022885582367026,24.825307660552745
680,12.281294358974336,24.743157928711543
681,11.303863311006133,23.9104091232289
682,12.137998545334431,23.970067594082103
683,12.437894954485264,25.68871027059292
684,11.363160583813398,25.132068447175108
685,11.845257267827646,25.57718672244159
686,13.520490705121452,28.21004309561452
687,12.783357695502426,30.451329356365427
688,14.013857323350042,23.57292984332704
689,12.758618471998432,26.65744257710442
690,14.792718509897943,23.00928395577163
691,14.147436332275452,30.79999513541848
692,13.213262091207554,25.3677205368876
693,14.639577082237428,30.36155268366587
694,13.924251718291512,29.67625630372409
695,14.057507770031531,22.87879888524204
696,13.656400738907092,24.27380465400573
697,13.131684557608846,25.96916143105594
698,13.44912737319356,22.835502811910185
699,14.686246862439155,23.44139709639783
700,14.5149267099476,22.713177519604105
701,14.555686424119434,24.70070533133598
702,14.370064235869137,26.05219084852782
703,12.619305063048923,25.10291402659413
704,12.769663021539955,25.30302409957228
705,13.699758134769548,23.25190925926727
706,13.103354006093737,30.04058635432783
707,12.743618034361935,25.65617719041595
708,13.815944424333086,22.44821101993089
709,14.323602125080074,28.94009963358509
710,13.435318349290617,25.083720492346195
711,14.725606857298676,24.039759422793608
712,14.008091678755708,30.63358683770711
713,13.487832558681408,26.88071560322906
714,14.413460464198648,31.98029565588582
715,13.328776401751927,27.7100864659734
716,12.838573830015358,24.917619419609245
717,13.725959733563776,23.70573614366378
718,12.895220411319086,23.05158483266152
719,12.330279024285415,22.932043690220315
720,12.572307330160832,24.137484633551576
721,13.513618601770666,24.02841824128242
722,13.282878776401986,23.064430449593047
723,14.18923027857779,24.681415245276025
724,12.634567256197396,24.94826482486014
725,12.143511699915324,23.484283828419287
726,12.585208300896706,24.675130377360667
727,13.531108997147248,23.529390378281047
728,12.8721303178483,24.51312572816793
729,12.320432922676352,23.8471838525466
730,12.414903382314922,23.313420458210512
731,13.042108721438062,23.53002700165128
732,9.517190378792549,11.767317666398863
733,8.955220563768853,10.884733088387058
734,11.612540215269078,10.38887966081916
735,11.803664828748095,12.019777687248316
736,11.377151253669023,11.27834652253301
737,11.81659080675352,11.448562046137816
738,10.81820620852526,11.104593814739706
739,12.663552410668157,12.79492426521811
740,12.8765212237635,13.273191006105383
741,12.163350290539489,10.96399666721161
742,11.902293063367235,13.250515678100884
743,11.674666198837118,9.71135035435683
744,11.646869475049318,12.542356527883372
745,11.61215071149652,13.181729457242152
746,12.993070973554673,13.537444628645098
747,12.012715094546213,13.617847361496906
748,12.17777983251589,12.674684777136292
749,11.852751999613789,13.199614915593504
750,12.422886455956268,13.451594578239392
751,11.793118236333104,10.999064087826088
752,12.486988469122132,13.177525335239498
753,11.699818002461342,11.195557770015922
754,12.210048366574622,11.828837939744272
755,5.864099910079925,7.432833043658241
756,6.966645070331485,7.583365264971418
757,6.496882736660314,7.324806316733255
758,5.810877500447122,7.325586580751866
759,7.400353991562151,7.314433066891736
760,7.28428853188647,8.156871546787968
761,5.787389267810056,6.177982038845872
762,6.6159691065510815,5.883091108138774
763,7.74997682930051,5.375964555158433
764,7.84802714064009,6.430517923236818
765,8.539862411270882,4.992167459552712
766,6.937823763502849,3.704284786912481
767,6.896145567953455,5.081629437940895
