scope,forecasting_horizon,month_start,model,support,population_at_risk,true_alert_population,missed_crisis_population,false_alert_population,true_noncrisis_population,population_weighted_recall,population_weighted_precision
fs2,8-month horizon,2024-10-01,pooled,5336,843135969.4846133,106656062.24588731,50984718.7315225,70515964.40971921,614979224.0974842,0.6765765913147265,0.6019915460650528
fs2,8-month horizon,2024-10-01,partitioned,5336,843135969.4846133,115334734.31506228,42306046.662347496,60259911.95444441,625235276.552759,0.7316300617134723,0.656823751551308
fs3,12-month horizon,2021-02-01,pooled,5425,829590705.9968276,56870471.63717035,63120727.61671099,25098816.549586125,684500690.1933601,0.47395535664946503,0.6938021897615885
fs3,12-month horizon,2021-02-01,partitioned,5425,829590705.9968276,70704402.43525875,49286796.818622604,52343280.0436544,657256226.699292,0.5892465687059267,0.5746097854981987
fs3,12-month horizon,2021-06-01,pooled,4385,717535412.8736532,46771076.128472194,51467277.99061319,25158863.586469598,594138195.1680982,0.4760979206937434,0.6502309930166197
fs3,12-month horizon,2021-06-01,partitioned,4385,717535412.8736532,58629246.554922596,39609107.5641628,40897323.7629293,578399734.9916385,0.5968060751898562,0.5890813515193176
fs3,12-month horizon,2021-10-01,pooled,4974,811229092.5056571,54265438.83857216,57702585.371326044,14755181.2323412,684505887.0634178,0.48465121378622117,0.7862206798898447
fs3,12-month horizon,2021-10-01,partitioned,4974,811229092.5056571,66257811.99711616,45710212.212782055,20685707.7139569,678575360.581802,0.5917565525038426,0.7620787865191246
fs3,12-month horizon,2022-02-01,pooled,4974,811229092.5056571,59650367.7963805,93646600.08975491,8599913.476488,649332211.1430337,0.3891164229724823,0.8739944610322548
fs3,12-month horizon,2022-02-01,partitioned,4974,811229092.5056571,66163827.26813965,87133140.61799575,17524456.4707285,640407668.1487932,0.43160558346649264,0.7905984483394365
fs3,12-month horizon,2022-06-01,pooled,4864,815965495.1817701,77656902.89618978,103509416.10151051,18479179.778731503,616319996.4053383,0.4286497806315508,0.807781019732021
fs3,12-month horizon,2022-06-01,partitioned,4864,815965495.1817701,91770349.9045048,89395969.0931955,32442069.7894472,602357106.3946226,0.5065530414937102,0.7388178261933752
fs3,12-month horizon,2022-10-01,pooled,5012,815220305.9964302,76253751.58457346,91211417.23833656,11236986.9760943,636518150.1974258,0.4553409650529167,0.8715636973586368
fs3,12-month horizon,2022-10-01,partitioned,5012,815220305.9964302,86482510.14772627,80982658.67518374,16183738.0140443,631571399.1594758,0.5164208817606677,0.842365545602254
fs3,12-month horizon,2023-02-01,pooled,4860,815805751.9532602,76119376.2251047,64900340.09095681,10824617.488022,663961418.1491766,0.5397782538046069,0.8754989617369312
fs3,12-month horizon,2023-02-01,partitioned,4860,815805751.9532602,90560156.46635656,50459559.84970495,21523091.261226,653262944.3759726,0.6421808157902398,0.8079722733094092
fs3,12-month horizon,2023-06-01,pooled,5555,864320795.0821877,106790527.26125981,115551808.0643548,13225719.529192999,628752740.22738,0.48029776742637803,0.8898005904793459
fs3,12-month horizon,2023-06-01,partitioned,5555,864320795.0821877,118299579.74719562,104042755.578419,21526146.5336383,620452313.2229347,0.5320605253783492,0.8460501718374489
fs3,12-month horizon,2023-10-01,pooled,5410,834479401.7976866,72699608.01408312,95811004.04753259,40066742.185445294,625902047.5506256,0.4314245086683359,0.644692391705936
fs3,12-month horizon,2023-10-01,partitioned,5410,834479401.7976866,78210023.91770232,90300588.1439134,38459761.850398704,627509027.8856722,0.4641252141978151,0.6703537115698203
fs3,12-month horizon,2024-02-01,pooled,5697,888291376.5975075,137519258.14348906,80999779.99642101,32241905.68069595,637530432.7769015,0.629323922135518,0.8100749019717629
fs3,12-month horizon,2024-02-01,partitioned,5697,888291376.5975075,134105006.82767315,84414031.3122369,34564951.87665595,635207386.5809414,0.6136994193696315,0.7950734550350679
fs3,12-month horizon,2024-06-01,pooled,5697,888291376.5975075,144303111.5869395,123714561.6204277,27726759.720865607,592546943.6692746,0.5384089409480514,0.838825899769143
fs3,12-month horizon,2024-06-01,partitioned,5697,888291376.5975075,131898230.4047495,136119442.8026177,27155698.03704831,593118005.353092,0.492125123042535,0.8292673541415526
fs3,12-month horizon,2024-10-01,pooled,5336,843135969.4846133,108968737.5702935,48672043.407116294,88593992.86863282,596901195.6385705,0.6912471309432864,0.5515652538725142
fs3,12-month horizon,2024-10-01,partitioned,5336,843135969.4846133,107086922.8976815,50553858.079728305,71046487.56396921,614448700.9432342,0.679309771454553,0.601161357771992
