FEWSNET_admin_code,cluster_id,latitude,longitude,is_outlier,cluster_id_original
275,11,1.7285241,44.65425,False,11
276,11,1.8287638,44.611156,False,11
277,11,1.2174156,43.68174,False,11
278,11,2.3621905,42.272324,False,11
279,11,4.718474,45.17888,False,11
280,11,1.3338823,42.497044,False,11
281,11,3.8735025,45.55077,False,11
282,11,4.106404,42.182495,False,11
283,11,3.1217394,42.497597,False,11
284,11,3.4408922,45.66995,False,11
285,11,3.8041997,42.507587,False,11
286,11,3.0300338,42.599957,False,11
287,11,1.7219477,42.374702,False,11
288,11,2.2883844,45.06538,False,11
289,11,2.3323689,42.402786,False,11
290,11,2.4711962,45.542175,False,11
291,11,3.204203,43.482517,False,11
292,11,1.3880284,42.79958,False,11
293,11,2.5463498,43.921997,False,11
294,11,2.070081,42.77903,False,11
295,11,2.825787,42.52169,False,11
296,11,3.0107992,45.55039,False,11
297,11,1.9054475,44.972153,False,11
298,11,2.8170488,42.834946,False,11
299,11,2.0742395,44.618916,False,11
300,11,1.6728165,42.60441,False,11
301,11,2.5953097,44.97949,False,11
302,11,0.98703915,42.28388,False,11
303,11,2.450943,42.10251,False,11
304,11,4.624253,45.18652,False,11
305,11,3.7437289,42.01012,False,11
306,11,1.3766521,42.30435,False,11
307,11,4.0116787,45.528416,False,11
308,11,2.7455215,41.18946,False,11
309,11,3.9827147,42.113964,False,11
310,11,3.2777648,42.633533,False,11
311,11,3.3658907,45.62672,False,11
312,11,3.7466593,42.73298,False,11
313,11,4.2051396,43.242138,False,11
314,11,1.6788425,42.21282,False,11
315,11,4.083847,44.511497,False,11
316,11,3.8937042,43.368412,False,11
317,11,4.244522,43.877335,False,11
318,11,3.5973895,46.14289,False,11
319,11,0.7073308,41.438564,False,11
320,11,1.9622623,41.456566,False,11
321,11,-0.46497038,41.234737,False,11
322,11,4.5843635,45.08942,False,11
323,11,3.4128146,41.709606,False,11
324,11,1.0461326,43.23673,False,11
325,11,3.8559456,45.492935,False,11
326,11,2.2244666,44.306965,False,11
327,11,3.4322402,46.03458,False,11
328,11,4.673061,43.997177,False,11
329,11,4.656342,46.32185,False,11
330,11,2.6751127,41.455715,False,11
331,11,5.129625,46.319374,False,11
332,11,3.8562942,42.13884,False,11
333,11,3.1874683,42.15067,False,11
334,11,3.4232278,45.585278,False,11
335,11,0.9099605,43.209045,False,11
336,11,3.0984054,45.1905,False,11
337,11,-0.22779848,41.946686,False,11
338,11,1.7209164,43.966602,False,11
339,11,3.8466394,42.713566,False,11
340,11,1.9127357,44.306446,False,11
341,11,4.440151,43.040714,False,11
342,11,1.5866907,41.82288,False,11
343,11,1.4128101,43.4665,False,11
344,11,4.359434,44.607056,False,11
345,11,2.9134803,44.86219,False,11
346,11,-1.22284,41.695145,False,11
347,11,1.109416,43.861042,False,11
348,11,0.15146936,42.937298,False,9
349,11,0.5669764,43.22534,False,9
350,11,-0.55993587,42.198902,False,9
351,11,1.5195781,44.241447,False,11
352,11,1.7064766,44.71609,False,11
353,11,1.3814808,44.00121,False,11
354,11,9.608278,45.505993,False,11
355,11,9.535565,45.121883,False,11
356,11,9.882084,45.482494,False,11
357,11,2.0807352,45.26444,False,11
358,11,2.1061263,45.425694,False,11
359,11,10.265084,43.69291,False,11
360,11,10.255565,45.23463,False,11
361,11,10.256664,43.11423,False,11
362,11,9.697997,45.939205,False,11
363,11,9.932821,46.131104,False,11
364,11,10.254938,46.217598,False,11
365,11,10.02348,43.790657,False,11
366,11,9.912015,44.36187,False,11
367,11,10.469514,43.680202,False,11
368,11,9.770979,44.990532,False,11
369,11,10.001544,45.423183,False,11
370,11,10.624595,42.85877,False,11
371,15,12.304588,31.278816,False,15
372,15,10.749817,26.948687,False,15
373,15,11.321706,31.492167,False,15
374,15,10.833425,27.68493,False,15
375,15,10.751023,28.049765,False,15
376,15,10.576259,26.050076,False,15
377,15,11.349,28.903383,False,15
378,15,10.524852,27.583975,False,15
379,15,11.772241,31.189028,False,15
380,15,11.159071,28.245476,False,15
381,15,11.709092,28.764086,False,15
382,15,11.965553,31.499435,False,15
383,15,11.269478,27.761702,False,15
384,15,10.519962,26.836016,False,15
385,15,10.944086,28.979761,False,15
386,15,14.433732,34.292133,False,15
387,15,14.051422,34.209103,False,15
388,15,14.517895,32.425213,False,15
389,15,14.780854,32.902195,False,15
390,15,15.090055,32.9407,False,15
391,15,14.342609,32.97359,False,15
392,15,14.305408,32.63886,False,15
393,15,15.414104,35.61416,False,15
394,15,14.21044,33.37078,False,15
395,15,15.217416,32.61095,False,15
396,15,15.656377,35.414143,False,15
397,15,14.913237,33.53573,False,15
398,15,14.526,33.907818,False,15
399,15,14.119674,34.4994,False,15
400,15,13.734853,32.066303,False,15
401,15,13.046294,30.636148,False,15
402,15,13.799749,31.171402,False,15
403,15,13.309998,32.3854,False,15
404,15,13.219485,30.327032,False,15
405,15,13.227101,32.08501,False,15
406,15,13.650654,30.83504,False,15
407,15,13.300735,31.42275,False,15
408,15,18.156845,38.293633,False,15
409,15,21.704247,36.683304,False,15
410,15,12.847269,32.744015,False,15
411,15,19.51574,37.22888,False,15
412,15,19.012375,37.35893,False,15
413,15,18.594885,37.782364,False,15
414,15,15.194382,34.526997,False,15
415,15,13.996678,32.467434,False,15
416,15,13.851805,32.881973,False,15
417,15,15.459473,35.683735,False,15
418,15,15.423791,36.344208,False,15
419,15,15.73407,35.930874,False,15
420,15,15.312026,36.092712,False,15
421,15,15.314991,36.37709,False,15
422,15,15.5527935,35.07664,False,15
423,15,15.474217,35.410423,False,15
424,15,16.126034,36.109562,False,15
