month,column,effective_missing_n,effective_missing_rate
2010-03,AEZ_33000,0,0.0
2010-03,AEZ_34000,0,0.0
2010-03,AEZ_36000,0,0.0
2010-03,AEZ_38000,0,0.0
2010-03,AEZ_4000,0,0.0
2010-03,AEZ_40000,0,0.0
2010-03,AEZ_43000,0,0.0
2010-03,AEZ_7000,0,0.0
2010-03,AEZ_9000,0,0.0
2010-03,crop,0,0.0
2010-03,range,0,0.0
2010-03,distance_to_river,0,0.0
2010-03,nightlight,0,0.0
2010-03,nightlight_sd,0,0.0
2010-03,elevation,0,0.0
2010-03,EVI,0,0.0
2010-03,market_distance,0,0.0
2010-03,FAO_price,0,0.0
2010-03,Rainf_f_tavg_mean,0,0.0
2010-03,Tair_f_tavg_mean,0,0.0
2010-03,gpp_mean,0,0.0
2010-03,sg_cec_5-15cm,0,0.0
2010-03,sg_cfvo_5-15cm,0,0.0
2010-03,sg_nitrogen_5-15cm,0,0.0
2010-03,sg_phh2o_5-15cm,0,0.0
2010-03,sg_soc_5-15cm,0,0.0
2010-03,market_access,0,0.0
2010-03,ruggedness,0,0.0
2010-03,slope,0,0.0
2010-03,CPI,0,0.0
2010-03,GDP,0,0.0
2010-03,CC,0,0.0
2010-03,gini,0,0.0
2010-03,WFP_Price,0,0.0
2010-03,WFP_Price_std,0,0.0
2010-03,fews_ipc,1040,1.0
2010-03,fews_ha,1040,1.0
2010-03,fews_proj_near,1040,1.0
2010-03,fews_proj_near_ha,1040,1.0
2010-03,fews_proj_med,1040,1.0
2010-03,fews_proj_med_ha,1040,1.0
2010-03,pop,1040,1.0
2010-03,fews_ipc_adjusted,1040,1.0
2010-03,fews_proj_med_adjusted,1040,1.0
2010-03,ISO3,0,0.0
2010-03,Food_CPI,0,0.0
2010-03,Food_food_inflation,0,0.0
2010-03,Tair_zscore,16,0.015384615384615385
2010-03,Rainf_zscore,16,0.015384615384615385
2010-03,fews_ipc_crisis,1040,1.0
2010-04,unit_name,0,0.0
2010-04,ADMIN0,0,0.0
2010-04,ADMIN1,0,0.0
2010-04,ADMIN2,0,0.0
2010-04,ADMIN3,0,0.0
2010-04,FEWSNET_admin_code,0,0.0
2010-04,ISO,0,0.0
2010-04,lat,0,0.0
2010-04,lon,0,0.0
2010-04,date,0,0.0
2010-04,month,0,0.0
2010-04,distance_to_nearest_acled,0,0.0
2010-04,event_count_battles,0,0.0
2010-04,event_count_explosions,0,0.0
2010-04,event_count_violence,0,0.0
2010-04,sum_fatalities_battles,0,0.0
2010-04,sum_fatalities_explosions,0,0.0
2010-04,sum_fatalities_violence,0,0.0
2010-04,event_count_battles_w5,0,0.0
2010-04,event_count_explosions_w5,0,0.0
2010-04,event_count_violence_w5,0,0.0
2010-04,sum_fatalities_battles_w5,0,0.0
2010-04,sum_fatalities_explosions_w5,0,0.0
2010-04,sum_fatalities_violence_w5,0,0.0
2010-04,event_count_battles_w10,0,0.0
2010-04,event_count_explosions_w10,0,0.0
2010-04,event_count_violence_w10,0,0.0
2010-04,sum_fatalities_battles_w10,0,0.0
2010-04,sum_fatalities_explosions_w10,0,0.0
2010-04,sum_fatalities_violence_w10,0,0.0
2010-04,AEZ_10000,0,0.0
2010-04,AEZ_12000,0,0.0
2010-04,AEZ_15000,0,0.0
2010-04,AEZ_17000,0,0.0
2010-04,AEZ_19000,0,0.0
2010-04,AEZ_25000,0,0.0
