column,feature_family,finite_n,raw_null_n,inf_n,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,zero_rate_finite,negative_rate_finite,unique_finite
sum_fatalities_violence_w5,conflict,187200,0,0,4.115817307692308,23.325756331104408,0.0,0.0,0.0,0.0,0.0,2.0,18.0,61.0,882.0,0.6011217948717948,0.0,91
event_count_battles_w10,conflict,187200,0,0,8.830945512820513,18.532231447864426,0.0,0.0,0.0,1.0,2.0,7.0,46.0,106.0,152.0,0.20947115384615383,0.0,66
event_count_explosions_w10,conflict,187200,0,0,0.7202190170940171,2.157691131380144,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,19.0,0.7566933760683761,0.0,15
event_count_violence_w10,conflict,187200,0,0,5.678701923076923,8.947178187807863,0.0,0.0,0.0,0.0,1.0,7.0,28.0,36.0,52.0,0.2691292735042735,0.0,43
sum_fatalities_battles_w10,conflict,187200,0,0,45.63279380341881,97.83407909300223,0.0,0.0,0.0,0.0,8.0,33.0,220.0,572.0,841.0,0.26873397435897434,0.0,164
sum_fatalities_explosions_w10,conflict,187200,0,0,3.2426495726495728,14.874035040655698,0.0,0.0,0.0,0.0,0.0,0.0,16.0,92.0,227.0,0.8527884615384616,0.0,43
sum_fatalities_violence_w10,conflict,187200,0,0,22.129342948717948,69.9282333261498,0.0,0.0,0.0,0.0,1.0,15.0,102.0,251.0,3212.0,0.3983653846153846,0.0,116
AEZ_10000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_12000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_15000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_17000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
