scope,forecasting_horizon,month_start,model,n,positive_n,prevalence,precision,recall,f1,balanced_accuracy,tp,fp,fn,tn
2,8,2022-06-01,pooled,1040,438,0.42115384615384616,1.0,0.2009132420091324,0.33460076045627374,0.6004566210045662,88,0,350,602
2,8,2022-10-01,pooled,1040,360,0.34615384615384615,0.9122807017543859,0.43333333333333335,0.5875706214689266,0.7056372549019607,156,15,204,665
2,8,2023-02-01,pooled,1040,228,0.21923076923076923,0.8165680473372781,0.6052631578947368,0.6952141057934509,0.7835429089966295,138,31,90,781
2,8,2023-06-01,pooled,1040,400,0.38461538461538464,0.8880597014925373,0.595,0.7125748502994012,0.7740625,238,30,162,610
2,8,2023-10-01,pooled,1040,216,0.2076923076923077,0.5220125786163522,0.7685185185185185,0.6217228464419475,0.7920262495505214,166,152,50,672
2,8,2024-02-01,pooled,1040,273,0.2625,0.6693121693121693,0.9267399267399268,0.7772657450076805,0.8818836530700938,253,125,20,642
2,8,2024-06-01,pooled,1040,338,0.325,0.7183908045977011,0.7396449704142012,0.7288629737609329,0.8000219154065308,250,98,88,604
2,8,2024-10-01,pooled,1040,140,0.1346153846153846,0.34770114942528735,0.8642857142857143,0.4959016393442623,0.8060317460317461,121,227,19,673
2,8,2021-02-01,partitioned,1040,214,0.20576923076923076,0.7477477477477478,0.3878504672897196,0.5107692307692308,0.676976081102487,83,28,131,798
2,8,2021-06-01,partitioned,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
2,8,2021-10-01,partitioned,1040,262,0.2519230769230769,0.8384615384615385,0.41603053435114506,0.5561224489795918,0.6945191232167036,109,21,153,757
2,8,2022-02-01,partitioned,1040,375,0.3605769230769231,0.923728813559322,0.2906666666666667,0.4421906693711968,0.6385664160401002,109,9,266,656
2,8,2022-06-01,partitioned,1040,438,0.42115384615384616,0.9352941176470588,0.363013698630137,0.5230263157894737,0.6723706366904838,159,11,279,591
2,8,2022-10-01,partitioned,1040,360,0.34615384615384615,0.918918918918919,0.4722222222222222,0.6238532110091743,0.7250816993464052,170,15,190,665
2,8,2023-02-01,partitioned,1040,228,0.21923076923076923,0.7054545454545454,0.8508771929824561,0.7713717693836978,0.8755617492005876,194,81,34,731
2,8,2023-06-01,partitioned,1040,400,0.38461538461538464,0.8327645051194539,0.61,0.7041847041847041,0.76671875,244,49,156,591
2,8,2023-10-01,partitioned,1040,216,0.2076923076923077,0.5818815331010453,0.7731481481481481,0.6640159045725647,0.8137585400934915,167,120,49,704
2,8,2024-02-01,partitioned,1040,273,0.2625,0.7811320754716982,0.7582417582417582,0.7695167286245354,0.8413112311417397,207,58,66,709
2,8,2024-06-01,partitioned,1040,338,0.325,0.7122905027932961,0.7544378698224852,0.7327586206896551,0.8038571115494193,255,103,83,599
2,8,2024-10-01,partitioned,1040,140,0.1346153846153846,0.4377358490566038,0.8285714285714286,0.5728395061728395,0.8315079365079365,116,149,24,751
2,8,2021-02-01,partitioned_thresholded,1040,214,0.20576923076923076,0.7022900763358778,0.42990654205607476,0.5333333333333333,0.691345522844018,92,39,122,787
2,8,2021-06-01,partitioned_thresholded,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
2,8,2021-10-01,partitioned_thresholded,1040,262,0.2519230769230769,0.8235294117647058,0.42748091603053434,0.5628140703517588,0.6983162934908456,112,24,150,754
2,8,2022-02-01,partitioned_thresholded,1040,375,0.3605769230769231,0.9060402684563759,0.36,0.5152671755725191,0.6694736842105263,135,14,240,651
2,8,2022-06-01,partitioned_thresholded,1040,438,0.42115384615384616,0.7694524495677233,0.6095890410958904,0.6802547770700637,0.7383493378236927,267,80,171,522
2,8,2022-10-01,partitioned_thresholded,1040,360,0.34615384615384615,0.8974358974358975,0.5833333333333334,0.7070707070707071,0.7740196078431373,210,24,150,656
2,8,2023-02-01,partitioned_thresholded,1040,228,0.21923076923076923,0.5670103092783505,0.9649122807017544,0.7142857142857143,0.8790078644888082,220,168,8,644
2,8,2023-06-01,partitioned_thresholded,1040,400,0.38461538461538464,0.7241379310344828,0.945,0.8199566160520607,0.86,378,144,22,496
2,8,2023-10-01,partitioned_thresholded,1040,216,0.2076923076923077,0.4321266968325792,0.8842592592592593,0.5805471124620061,0.7898238043869112,191,251,25,573
2,8,2024-02-01,partitioned_thresholded,1040,273,0.2625,0.7395498392282959,0.8424908424908425,0.7876712328767124,0.8684422921711057,230,81,43,686
2,8,2024-06-01,partitioned_thresholded,1040,338,0.325,0.6927083333333334,0.7869822485207101,0.7368421052631579,0.809445540214771,266,118,72,584
2,8,2024-10-01,partitioned_thresholded,1040,140,0.1346153846153846,0.30935251798561153,0.9214285714285714,0.4631956912028725,0.8007142857142857,129,288,11,612
3,12,2021-02-01,pooled,1040,214,0.20576923076923076,0.8415841584158416,0.397196261682243,0.5396825396825397,0.6889129008169084,85,16,129,810
3,12,2021-06-01,pooled,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
3,12,2021-10-01,pooled,1040,262,0.2519230769230769,0.8301886792452831,0.16793893129770993,0.27936507936507937,0.5781854039521969,44,9,218,769
3,12,2022-02-01,pooled,1040,375,0.3605769230769231,0.9042553191489362,0.22666666666666666,0.3624733475479744,0.6065664160401002,85,9,290,656
3,12,2022-06-01,pooled,1040,438,0.42115384615384616,0.9887640449438202,0.2009132420091324,0.33396584440227706,0.5996260562205131,88,1,350,601
3,12,2022-10-01,pooled,1040,360,0.34615384615384615,0.9196428571428571,0.2861111111111111,0.4364406779661017,0.636437908496732,103,9,257,671
3,12,2023-02-01,pooled,1040,228,0.21923076923076923,0.7611940298507462,0.2236842105263158,0.34576271186440677,0.6019898885143894,51,16,177,796
3,12,2023-06-01,pooled,1040,400,0.38461538461538464,0.883495145631068,0.455,0.6006600660066007,0.70875,182,24,218,616
3,12,2023-10-01,pooled,1040,216,0.2076923076923077,0.5454545454545454,0.8055555555555556,0.6504672897196262,0.8147923408845739,174,145,42,679
3,12,2024-02-01,pooled,1040,273,0.2625,0.6452442159383034,0.9194139194139194,0.7583081570996979,0.8697460731359037,251,138,22,629
3,12,2024-06-01,pooled,1040,338,0.325,0.7436708860759493,0.6952662721893491,0.7186544342507645,0.7899408284023668,235,81,103,621
3,12,2024-10-01,pooled,1040,140,0.1346153846153846,0.27896995708154504,0.9285714285714286,0.429042904290429,0.7776190476190477,130,336,10,564
3,12,2021-02-01,partitioned,1040,214,0.20576923076923076,0.6896551724137931,0.4672897196261682,0.5571030640668524,0.7064051503699849,100,45,114,781
3,12,2021-06-01,partitioned,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
3,12,2021-10-01,partitioned,1040,262,0.2519230769230769,0.907563025210084,0.4122137404580153,0.5669291338582677,0.6990374614886478,108,11,154,767
3,12,2022-02-01,partitioned,1040,375,0.3605769230769231,0.9325842696629213,0.22133333333333333,0.3577586206896552,0.6061553884711779,83,6,292,659
3,12,2022-06-01,partitioned,1040,438,0.42115384615384616,0.967479674796748,0.271689497716895,0.42424242424242425,0.6325224897222348,119,4,319,598
3,12,2022-10-01,partitioned,1040,360,0.34615384615384615,0.9074074074074074,0.2722222222222222,0.4188034188034188,0.6287581699346405,98,10,262,670
3,12,2023-02-01,partitioned,1040,228,0.21923076923076923,0.8181818181818182,0.5526315789473685,0.6596858638743456,0.7590744101633394,126,28,102,784
3,12,2023-06-01,partitioned,1040,400,0.38461538461538464,0.8874458874458875,0.5125,0.6497622820919176,0.7359374999999999,205,26,195,614
3,12,2023-10-01,partitioned,1040,216,0.2076923076923077,0.49508196721311476,0.6990740740740741,0.5796545105566219,0.7560904350952895,151,154,65,670
3,12,2024-02-01,partitioned,1040,273,0.2625,0.6397849462365591,0.8717948717948718,0.737984496124031,0.8485441112559757,238,134,35,633
3,12,2024-06-01,partitioned,1040,338,0.325,0.735202492211838,0.6982248520710059,0.716236722306525,0.7885711154941923,236,85,102,617
3,12,2024-10-01,partitioned,1040,140,0.1346153846153846,0.32367149758454106,0.9571428571428572,0.48375451263537905,0.823015873015873,134,280,6,620
3,12,2021-02-01,partitioned_thresholded,1040,214,0.20576923076923076,0.5317725752508361,0.7429906542056075,0.6198830409356725,0.7867495643909393,159,140,55,686
3,12,2021-06-01,partitioned_thresholded,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
3,12,2021-10-01,partitioned_thresholded,1040,262,0.2519230769230769,0.9217391304347826,0.40458015267175573,0.5623342175066313,0.6965060146392198,106,9,156,769
3,12,2022-02-01,partitioned_thresholded,1040,375,0.3605769230769231,0.9325842696629213,0.22133333333333333,0.3577586206896552,0.6061553884711779,83,6,292,659
3,12,2022-06-01,partitioned_thresholded,1040,438,0.42115384615384616,0.9905660377358491,0.23972602739726026,0.3860294117647059,0.619032448914577,105,1,333,601
3,12,2022-10-01,partitioned_thresholded,1040,360,0.34615384615384615,0.7896995708154506,0.5111111111111111,0.6205733558178752,0.7195261437908497,184,49,176,631
3,12,2023-02-01,partitioned_thresholded,1040,228,0.21923076923076923,0.6594982078853047,0.8070175438596491,0.7258382642998028,0.8450112349840118,184,95,44,717
3,12,2023-06-01,partitioned_thresholded,1040,400,0.38461538461538464,0.8575581395348837,0.7375,0.793010752688172,0.8304687500000001,295,49,105,591
3,12,2023-10-01,partitioned_thresholded,1040,216,0.2076923076923077,0.38686131386861317,0.9814814814814815,0.5549738219895288,0.7868572455951097,212,336,4,488
3,12,2024-02-01,partitioned_thresholded,1040,273,0.2625,0.4883303411131059,0.9963369963369964,0.655421686746988,0.8123797106847954,272,285,1,482
3,12,2024-06-01,partitioned_thresholded,1040,338,0.325,0.7095890410958904,0.7662721893491125,0.7368421052631579,0.8076375191759808,259,106,79,596
3,12,2024-10-01,partitioned_thresholded,1040,140,0.1346153846153846,0.2860125260960334,0.9785714285714285,0.44264943457189015,0.7992857142857143,137,342,3,558
