FEWSNET_admin_code,target_month,target_label,partition_id
37,2016-06,1,13
37,2016-10,1,13
38,2014-04,0,2
38,2014-07,1,2
38,2014-10,0,2
38,2015-01,0,2
38,2015-04,1,2
38,2015-07,1,2
38,2015-10,0,2
38,2016-02,0,2
38,2016-06,1,2
38,2016-10,0,2
39,2014-04,1,2
39,2014-07,1,2
39,2014-10,0,2
39,2015-01,0,2
39,2015-04,0,2
39,2015-07,1,2
39,2015-10,1,2
39,2016-02,1,2
39,2016-06,1,2
39,2016-10,1,2
40,2014-04,0,2
40,2014-07,1,2
40,2014-10,0,2
40,2015-01,0,2
40,2015-04,1,2
40,2015-07,1,2
40,2015-10,1,2
40,2016-02,1,2
40,2016-06,1,2
40,2016-10,1,2
41,2014-04,0,2
41,2014-07,0,2
41,2014-10,0,2
41,2015-01,0,2
41,2015-04,0,2
41,2015-07,0,2
41,2015-10,0,2
41,2016-02,0,2
41,2016-06,0,2
41,2016-10,0,2
42,2014-04,1,8
42,2014-07,1,8
42,2014-10,1,8
42,2015-01,1,8
42,2015-04,1,8
42,2015-07,1,8
42,2015-10,1,8
42,2016-02,1,8
42,2016-06,1,8
42,2016-10,1,8
43,2014-04,1,2
43,2014-07,1,2
43,2014-10,0,2
43,2015-01,0,2
43,2015-04,0,2
43,2015-07,1,2
43,2015-10,0,2
43,2016-02,0,2
43,2016-06,0,2
43,2016-10,0,2
44,2014-04,0,2
44,2014-07,0,2
44,2014-10,0,2
44,2015-01,0,2
44,2015-04,0,2
44,2015-07,1,2
44,2015-10,1,2
44,2016-02,0,2
44,2016-06,0,2
44,2016-10,0,2
45,2014-04,0,2
45,2014-07,0,2
45,2014-10,0,2
45,2015-01,0,2
45,2015-04,0,2
45,2015-07,0,2
45,2015-10,0,2
45,2016-02,0,2
45,2016-06,0,2
45,2016-10,0,2
46,2014-04,0,2
46,2014-07,0,2
46,2014-10,0,2
46,2015-01,0,2
46,2015-04,0,2
46,2015-07,0,2
46,2015-10,0,2
46,2016-02,0,2
46,2016-06,1,2
46,2016-10,1,2
47,2014-04,0,2
47,2014-07,0,2
47,2014-10,0,2
47,2015-01,0,2
47,2015-04,0,2
47,2015-07,0,2
47,2015-10,0,2
47,2016-02,0,2
47,2016-06,1,2
47,2016-10,1,2
48,2014-04,0,2
48,2014-07,0,2
48,2014-10,0,2
48,2015-01,0,2
48,2015-04,0,2
48,2015-07,0,2
48,2015-10,0,2
48,2016-02,0,2
48,2016-06,1,2
48,2016-10,1,2
49,2014-04,0,2
49,2014-07,0,2
49,2014-10,0,2
49,2015-01,0,2
49,2015-04,0,2
49,2015-07,0,2
49,2015-10,0,2
49,2016-02,0,2
49,2016-06,0,2
49,2016-10,0,2
50,2014-04,1,2
50,2014-07,1,2
50,2014-10,1,2
50,2015-01,0,2
50,2015-04,0,2
50,2015-07,1,2
50,2015-10,0,2
50,2016-02,1,2
50,2016-06,1,2
50,2016-10,0,2
51,2014-04,0,2
51,2014-07,0,2
51,2014-10,0,2
51,2015-01,0,2
51,2015-04,0,2
51,2015-07,0,2
51,2015-10,0,2
51,2016-02,0,2
51,2016-06,0,2
51,2016-10,0,2
52,2014-04,1,2
52,2014-07,1,2
52,2014-10,0,2
52,2015-01,0,2
52,2015-04,1,2
52,2015-07,1,2
52,2015-10,1,2
52,2016-02,1,2
52,2016-06,1,2
52,2016-10,1,2
53,2014-04,1,2
53,2014-07,1,2
53,2014-10,1,2
53,2015-01,1,2
53,2015-04,1,2
53,2015-07,1,2
53,2015-10,1,2
53,2016-02,1,2
53,2016-06,1,2
53,2016-10,1,2
54,2014-04,1,8
54,2014-07,1,8
54,2014-10,0,8
54,2015-01,0,8
54,2015-04,0,8
54,2015-07,0,8
54,2015-10,0,8
54,2016-02,0,8
54,2016-06,0,8
54,2016-10,0,8
55,2014-04,1,2
55,2014-07,1,2
55,2014-10,0,2
55,2015-01,0,2
55,2015-04,0,2
55,2015-07,0,2
55,2015-10,0,2
55,2016-02,0,2
55,2016-06,1,2
55,2016-10,0,2
56,2014-04,0,2
56,2014-07,1,2
56,2014-10,0,2
56,2015-01,0,2
56,2015-04,0,2
56,2015-07,0,2
56,2015-10,0,2
56,2016-02,0,2
56,2016-06,1,2
56,2016-10,0,2
57,2014-04,0,2
57,2014-07,0,2
57,2014-10,0,2
57,2015-01,0,2
57,2015-04,0,2
57,2015-07,0,2
57,2015-10,0,2
57,2016-02,0,2
57,2016-06,1,2
57,2016-10,1,2
58,2014-04,0,2
58,2014-07,0,2
58,2014-10,0,2
58,2015-01,0,2
58,2015-04,0,2
58,2015-07,0,2
58,2015-10,0,2
58,2016-02,0,2
58,2016-06,0,2
58,2016-10,0,2
59,2014-04,1,8
59,2014-07,1,8
59,2014-10,1,8
59,2015-01,1,8
59,2015-04,1,8
59,2015-07,1,8
59,2015-10,1,8
59,2016-02,1,8
59,2016-06,0,8
59,2016-10,0,8
60,2014-04,0,2
60,2014-07,0,2
60,2014-10,0,2
60,2015-01,0,2
60,2015-04,0,2
60,2015-07,0,2
60,2015-10,0,2
60,2016-02,0,2
60,2016-06,1,2
60,2016-10,0,2
61,2014-04,0,2
61,2014-07,0,2
61,2014-10,0,2
61,2015-01,0,2
61,2015-04,1,2
61,2015-07,1,2
61,2015-10,0,2
61,2016-02,0,2
61,2016-06,1,2
61,2016-10,0,2
62,2014-04,0,2
62,2014-07,0,2
62,2014-10,0,2
62,2015-01,0,2
62,2015-04,1,2
62,2015-07,1,2
62,2015-10,0,2
62,2016-02,0,2
62,2016-06,1,2
62,2016-10,0,2
63,2014-04,0,2
63,2014-07,0,2
63,2014-10,0,2
63,2015-01,0,2
63,2015-04,0,2
63,2015-07,0,2
63,2015-10,0,2
63,2016-02,0,2
63,2016-06,0,2
63,2016-10,0,2
64,2014-04,0,2
64,2014-07,0,2
64,2014-10,0,2
