profile_type,cluster_i,cluster_j,similarity
conflict_exposure,5,5,1.0
conflict_exposure,5,6,-0.6229170332731804
conflict_exposure,5,7,0.7381222753295351
conflict_exposure,5,8,0.226106000745342
conflict_exposure,5,9,0.5357000740184308
conflict_exposure,5,10,0.7360869867717931
conflict_exposure,5,11,0.2039606230032303
conflict_exposure,5,12,-0.629965633068248
conflict_exposure,6,0,-0.1984243228648655
conflict_exposure,6,1,-0.5374938034835536
conflict_exposure,6,2,-0.2479508045398195
conflict_exposure,6,3,-0.23391107556676657
conflict_exposure,6,4,-0.20365161663122375
conflict_exposure,6,5,-0.6229170332731804
conflict_exposure,6,6,0.9999999999999996
conflict_exposure,6,7,-0.5355600081161732
conflict_exposure,6,8,-0.10151604654488629
conflict_exposure,6,9,-0.2731898976347935
conflict_exposure,6,10,-0.6831204848924167
conflict_exposure,6,11,0.07446301289810742
conflict_exposure,6,12,0.1932287443844654
conflict_exposure,7,0,0.6436185284648396
conflict_exposure,7,1,0.21792896320128624
conflict_exposure,7,2,-0.29389857475297815
conflict_exposure,7,3,0.5269164828432142
conflict_exposure,7,4,-0.3336923816513012
conflict_exposure,7,5,0.7381222753295351
conflict_exposure,7,6,-0.5355600081161732
conflict_exposure,7,7,0.9999999999999999
conflict_exposure,7,8,-0.313361434585628
conflict_exposure,7,9,0.8603621292480094
conflict_exposure,7,10,0.7396771818544673
conflict_exposure,7,11,0.4134623214126772
conflict_exposure,7,12,-0.5991363141553173
conflict_exposure,8,0,0.17315438848379855
conflict_exposure,8,1,0.45267231266582664
conflict_exposure,8,2,-0.16490149313220093
conflict_exposure,8,3,-0.13726049815263852
conflict_exposure,8,4,0.4030300415849537
conflict_exposure,8,5,0.226106000745342
conflict_exposure,8,6,-0.10151604654488629
conflict_exposure,8,7,-0.313361434585628
conflict_exposure,8,8,0.9999999999999997
conflict_exposure,8,9,-0.2385619340853812
conflict_exposure,8,10,0.10830199793973418
conflict_exposure,8,11,-0.2563267582124695
conflict_exposure,8,12,-0.20420552021461785
conflict_exposure,9,0,0.8340271487712562
conflict_exposure,9,1,-0.1266689202742482
conflict_exposure,9,2,-0.47647547631280845
conflict_exposure,9,3,0.5827375757243765
conflict_exposure,9,4,-0.548759711797735
conflict_exposure,9,5,0.5357000740184308
conflict_exposure,9,6,-0.2731898976347935
conflict_exposure,9,7,0.8603621292480094
conflict_exposure,9,8,-0.2385619340853812
conflict_exposure,9,9,1.0
conflict_exposure,9,10,0.45574649931385935
conflict_exposure,9,11,0.7066280037532202
conflict_exposure,9,12,-0.5403188044336902
conflict_exposure,10,0,0.4458490521322397
conflict_exposure,10,1,0.7940813103487924
conflict_exposure,10,2,-0.02089017373487523
conflict_exposure,10,3,0.17365827749150292
conflict_exposure,10,4,-0.08394878740930076
conflict_exposure,10,5,0.7360869867717931
conflict_exposure,10,6,-0.6831204848924167
conflict_exposure,10,7,0.7396771818544673
conflict_exposure,10,8,0.10830199793973418
conflict_exposure,10,9,0.45574649931385935
conflict_exposure,10,10,1.0
conflict_exposure,10,11,-0.1718377067284604
conflict_exposure,10,12,-0.6098498426909839
conflict_exposure,11,0,0.5143051049689625
conflict_exposure,11,1,-0.628921660436443
conflict_exposure,11,2,-0.6166775731287802
conflict_exposure,11,3,0.6755574925364595
conflict_exposure,11,4,-0.23734877773222152
conflict_exposure,11,5,0.2039606230032303
conflict_exposure,11,6,0.07446301289810742
conflict_exposure,11,7,0.4134623214126772
conflict_exposure,11,8,-0.2563267582124695
conflict_exposure,11,9,0.7066280037532202
conflict_exposure,11,10,-0.1718377067284604
conflict_exposure,11,11,1.0
conflict_exposure,11,12,-0.21300844654293868
conflict_exposure,12,0,-0.5647215076824373
conflict_exposure,12,1,-0.3720044374796678
conflict_exposure,12,2,0.2948694465551977
conflict_exposure,12,3,-0.26765927552439783
conflict_exposure,12,4,0.15172965442316805
conflict_exposure,12,5,-0.629965633068248
conflict_exposure,12,6,0.1932287443844654
conflict_exposure,12,7,-0.5991363141553173
conflict_exposure,12,8,-0.20420552021461785
conflict_exposure,12,9,-0.5403188044336902
conflict_exposure,12,10,-0.6098498426909839
conflict_exposure,12,11,-0.21300844654293868
conflict_exposure,12,12,0.9999999999999999
error_mode,0,0,1.0
error_mode,0,1,0.994707206558079
error_mode,0,2,0.9810120824758966
error_mode,0,3,0.9919279957651498
error_mode,0,4,0.9957316495274395
error_mode,0,5,0.923743820136325
error_mode,0,6,0.6251467277384238
error_mode,0,7,0.9952534541435175
error_mode,0,8,0.9902406343669842
error_mode,0,9,0.9638609676911076
error_mode,0,10,0.9979566739632552
error_mode,0,11,0.9073747670223938
error_mode,0,12,0.9280831952846612
error_mode,1,0,0.994707206558079
error_mode,1,1,0.9999999999999998
error_mode,1,2,0.9924364961335306
error_mode,1,3,0.9928881896531688
error_mode,1,4,0.9966551875142239
error_mode,1,5,0.9525062128825884
error_mode,1,6,0.7011672860365937
error_mode,1,7,0.9813203436099088
error_mode,1,8,0.9976703475886283
error_mode,1,9,0.9789947283496164
error_mode,1,10,0.9862026311255538
