profile_type,cluster_i,cluster_j,similarity
error_mode,4,3,0.9969793896175401
error_mode,4,4,1.0
error_mode,4,5,0.951281754475187
error_mode,4,6,0.6727626065476522
error_mode,4,7,0.9863967521712212
error_mode,4,8,0.9952012243666608
error_mode,4,9,0.9740611641702607
error_mode,4,10,0.9906241774573477
error_mode,4,11,0.9266116416263219
error_mode,4,12,0.940543065778691
error_mode,5,0,0.923743820136325
error_mode,5,1,0.9525062128825884
error_mode,5,2,0.9798129795334489
error_mode,5,3,0.9577851731026064
error_mode,5,4,0.951281754475187
error_mode,5,5,0.9999999999999999
error_mode,5,6,0.8500542187251493
error_mode,5,7,0.8877858147210721
error_mode,5,8,0.9656761003512134
error_mode,5,9,0.9793748835722317
error_mode,5,10,0.9026746589927842
error_mode,5,11,0.9603551090510016
error_mode,5,12,0.9661069746822218
error_mode,6,0,0.6251467277384238
error_mode,6,1,0.7011672860365937
error_mode,6,2,0.7499169765667951
error_mode,6,3,0.6788692071377012
error_mode,6,4,0.6727626065476522
error_mode,6,5,0.8500542187251493
error_mode,6,6,1.0
error_mode,6,7,0.5525655285419364
error_mode,6,8,0.7216596356204782
error_mode,6,9,0.7742838975520872
error_mode,6,10,0.5755142479801557
error_mode,6,11,0.7418184113504862
error_mode,6,12,0.7700656337373465
error_mode,7,0,0.9952534541435175
error_mode,7,1,0.9813203436099088
error_mode,7,2,0.9595144215265592
error_mode,7,3,0.9789749907504021
error_mode,7,4,0.9863967521712212
error_mode,7,5,0.8877858147210721
error_mode,7,6,0.5525655285419364
error_mode,7,7,1.0
error_mode,7,8,0.9724313721256005
error_mode,7,9,0.9344536591704814
error_mode,7,10,0.9987350431173274
error_mode,7,11,0.8738389413533112
error_mode,7,12,0.8923385173057475
error_mode,8,0,0.9902406343669842
error_mode,8,1,0.9976703475886283
error_mode,8,2,0.9978624041000338
error_mode,8,3,0.9963301702997663
error_mode,8,4,0.9952012243666608
error_mode,8,5,0.9656761003512134
error_mode,8,6,0.7216596356204782
error_mode,8,7,0.9724313721256005
error_mode,8,8,1.0
error_mode,8,9,0.9901559026425664
error_mode,8,10,0.9805444083020524
error_mode,8,11,0.9442180541112901
error_mode,8,12,0.963796097333981
error_mode,9,0,0.9638609676911076
error_mode,9,1,0.9789947283496164
error_mode,9,2,0.9935725249521323
error_mode,9,3,0.9843326846567622
error_mode,9,4,0.9740611641702607
error_mode,9,5,0.9793748835722317
error_mode,9,6,0.7742838975520872
error_mode,9,7,0.9344536591704814
error_mode,9,8,0.9901559026425664
error_mode,9,9,1.0
error_mode,9,10,0.9493633475207409
error_mode,9,11,0.9737305916356397
error_mode,9,12,0.9904009209054545
error_mode,10,0,0.9979566739632552
error_mode,10,1,0.9862026311255538
error_mode,10,2,0.969377808638269
error_mode,10,3,0.9867182988234456
error_mode,10,4,0.9906241774573477
error_mode,10,5,0.9026746589927842
error_mode,10,6,0.5755142479801557
error_mode,10,7,0.9987350431173274
error_mode,10,8,0.9805444083020524
error_mode,10,9,0.9493633475207409
error_mode,10,10,1.0
error_mode,10,11,0.8958566889276224
error_mode,10,12,0.9132863276105002
error_mode,11,0,0.9073747670223938
error_mode,11,1,0.9199415396086169
error_mode,11,2,0.957238743847316
error_mode,11,3,0.9511363638680098
error_mode,11,4,0.9266116416263219
error_mode,11,5,0.9603551090510016
error_mode,11,6,0.7418184113504862
error_mode,11,7,0.8738389413533112
error_mode,11,8,0.9442180541112901
error_mode,11,9,0.9737305916356397
error_mode,11,10,0.8958566889276224
error_mode,11,11,0.9999999999999999
error_mode,11,12,0.991158268780055
error_mode,12,0,0.9280831952846612
error_mode,12,1,0.9438673875220358
error_mode,12,2,0.971265992067998
error_mode,12,3,0.9613199778687491
error_mode,12,4,0.940543065778691
error_mode,12,5,0.9661069746822218
error_mode,12,6,0.7700656337373465
error_mode,12,7,0.8923385173057475
error_mode,12,8,0.963796097333981
error_mode,12,9,0.9904009209054545
error_mode,12,10,0.9132863276105002
error_mode,12,11,0.991158268780055
error_mode,12,12,1.0
