scope,horizon_months,forecasting_horizon,target_month,group,display_group,raw_mean_abs_shap,group_share,matched_feature_count,normalization_denominator,fallback_samples,evaluated_samples
fs1,4,4-month horizon,2023-02,conflict,Conflict,0.07313921158965014,0.166636922753096,38,0.4389135995869275,31,481
fs1,4,4-month horizon,2023-02,econ,Econ,0.10899467020449853,0.248328304949029,16,0.4389135995869275,31,481
fs1,4,4-month horizon,2023-02,food_prices,Food Prices,0.02071126601654058,0.04718756957185302,6,0.4389135995869275,31,481
fs1,4,4-month horizon,2023-02,geographic,Geographic,0.038556344911100215,0.08784495387562963,8,0.4389135995869275,31,481
fs1,4,4-month horizon,2023-02,lag,Lag,0.13838410591741304,0.3152878061824691,6,0.4389135995869275,31,481
fs1,4,4-month horizon,2023-06,weather,Weather,0.03093498741949239,0.07126335824136128,8,0.4340938763328966,19,493
fs1,4,4-month horizon,2023-06,agri,Agri,0.03544732389885753,0.08165819844847062,24,0.4340938763328966,19,493
fs1,4,4-month horizon,2023-06,conflict,Conflict,0.07486173399760353,0.17245517174767466,38,0.4340938763328966,19,493
fs1,4,4-month horizon,2023-06,econ,Econ,0.09206840318480158,0.21209330102181964,16,0.4340938763328966,19,493
fs1,4,4-month horizon,2023-06,food_prices,Food Prices,0.020948978622757485,0.048259097317217614,6,0.4340938763328966,19,493
fs1,4,4-month horizon,2023-06,geographic,Geographic,0.04250578437810432,0.09791841510684571,8,0.4340938763328966,19,493
fs1,4,4-month horizon,2023-06,lag,Lag,0.13732666483127975,0.31635245811661045,6,0.4340938763328966,19,493
fs1,4,4-month horizon,2023-10,weather,Weather,0.03628973086710807,0.08353606305322549,8,0.43441993243068994,23,489
fs1,4,4-month horizon,2023-10,agri,Agri,0.03704638014731103,0.08527780928473312,24,0.43441993243068994,23,489
fs1,4,4-month horizon,2023-10,conflict,Conflict,0.07563841919394898,0.17411360194900083,38,0.43441993243068994,23,489
fs1,4,4-month horizon,2023-10,econ,Econ,0.0928447773870442,0.21372126473929057,16,0.43441993243068994,23,489
fs1,4,4-month horizon,2023-10,food_prices,Food Prices,0.018449406988841958,0.042469061872029756,6,0.43441993243068994,23,489
fs1,4,4-month horizon,2023-10,geographic,Geographic,0.04150753705915847,0.09554703631325857,8,0.43441993243068994,23,489
fs1,4,4-month horizon,2023-10,lag,Lag,0.13264368078727723,0.3053351627884617,6,0.43441993243068994,23,489
fs1,4,4-month horizon,2024-02,weather,Weather,0.03068062655117958,0.0706509027382719,8,0.4342566812604894,53,459
fs1,4,4-month horizon,2024-02,agri,Agri,0.03601030705442979,0.08292401385720757,24,0.4342566812604894,53,459
fs1,4,4-month horizon,2024-02,conflict,Conflict,0.06428406585025091,0.14803241636641634,38,0.4342566812604894,53,459
fs1,4,4-month horizon,2024-02,econ,Econ,0.10262201454155796,0.23631648969379937,16,0.4342566812604894,53,459
fs1,4,4-month horizon,2024-02,food_prices,Food Prices,0.021973723798053443,0.05060077310560129,6,0.4342566812604894,53,459
fs1,4,4-month horizon,2024-02,geographic,Geographic,0.04350022592385209,0.10017169061760141,8,0.4342566812604894,53,459
fs1,4,4-month horizon,2024-02,lag,Lag,0.13518571754116562,0.31130371362110215,6,0.4342566812604894,53,459
fs1,4,4-month horizon,2024-06,weather,Weather,0.036096969277923135,0.08465914717492257,8,0.4263800248700787,40,472
fs1,4,4-month horizon,2024-06,agri,Agri,0.03227510049986926,0.07569562037927019,24,0.4263800248700787,40,472
fs1,4,4-month horizon,2024-06,conflict,Conflict,0.067306316798441,0.15785522977759045,38,0.4263800248700787,40,472
fs1,4,4-month horizon,2024-06,econ,Econ,0.08890056960056825,0.20850078431243804,16,0.4263800248700787,40,472
fs1,4,4-month horizon,2024-06,food_prices,Food Prices,0.01757510093612718,0.04121933465687669,6,0.4263800248700787,40,472
fs1,4,4-month horizon,2024-06,geographic,Geographic,0.04225295248839494,0.09909693236982606,8,0.4263800248700787,40,472
fs1,4,4-month horizon,2024-06,lag,Lag,0.14197301526875494,0.332972951329076,6,0.4263800248700787,40,472
fs1,4,4-month horizon,2024-10,weather,Weather,0.03167376747698615,0.0725018825570125,8,0.436868207554186,24,488
fs1,4,4-month horizon,2024-10,agri,Agri,0.03638515767885665,0.08328634826177801,24,0.436868207554186,24,488
fs1,4,4-month horizon,2024-10,conflict,Conflict,0.0706763060014276,0.16177946753578176,38,0.436868207554186,24,488
fs1,4,4-month horizon,2024-10,econ,Econ,0.10555369880602528,0.24161451206753962,16,0.436868207554186,24,488
fs1,4,4-month horizon,2024-10,food_prices,Food Prices,0.018498882189115527,0.0423443085791979,6,0.436868207554186,24,488
fs1,4,4-month horizon,2024-10,geographic,Geographic,0.03918247473818316,0.08968946254420047,8,0.436868207554186,24,488
fs1,4,4-month horizon,2024-10,lag,Lag,0.1348979206635916,0.3087840184544897,6,0.436868207554186,24,488
fs2,8,8-month horizon,2021-02,weather,Weather,0.03525391682012945,0.0850701674700907,8,0.4144098673900478,32,480
fs2,8,8-month horizon,2021-02,agri,Agri,0.030489424921138156,0.07357311521842004,24,0.4144098673900478,32,480
fs2,8,8-month horizon,2021-02,conflict,Conflict,0.07019863779012049,0.16939422372404236,38,0.4144098673900478,32,480
fs2,8,8-month horizon,2021-02,econ,Econ,0.11038535632220467,0.26636758679857536,16,0.4144098673900478,32,480
fs2,8,8-month horizon,2021-02,food_prices,Food Prices,0.022185434038730422,0.05353500431457924,6,0.4144098673900478,32,480
fs2,8,8-month horizon,2021-02,geographic,Geographic,0.03542735886480376,0.08548869525700527,8,0.4144098673900478,32,480
fs2,8,8-month horizon,2021-02,lag,Lag,0.11046973863292085,0.266571207217287,6,0.4144098673900478,32,480
fs2,8,8-month horizon,2021-06,weather,Weather,0.03500468117902293,0.08132534243770662,8,0.43042771330272267,12,500
fs2,8,8-month horizon,2021-06,agri,Agri,0.03205922078098418,0.07448224124555083,24,0.43042771330272267,12,500
fs2,8,8-month horizon,2021-06,conflict,Conflict,0.08338244595220794,0.19371997521350237,38,0.43042771330272267,12,500
fs2,8,8-month horizon,2021-06,econ,Econ,0.10902729935484518,0.2532999060824077,16,0.43042771330272267,12,500
fs2,8,8-month horizon,2021-06,food_prices,Food Prices,0.02759106386755596,0.06410150418951063,6,0.43042771330272267,12,500
fs2,8,8-month horizon,2021-06,geographic,Geographic,0.032394927534099845,0.07526217883493082,8,0.43042771330272267,12,500
fs2,8,8-month horizon,2021-06,lag,Lag,0.11096807463400664,0.257808851996391,6,0.43042771330272267,12,500
fs2,8,8-month horizon,2021-10,weather,Weather,0.03037150149758218,0.0694273536070283,8,0.4374572833279879,24,488
fs2,8,8-month horizon,2021-10,agri,Agri,0.030466275379711635,0.06964400077634379,24,0.4374572833279879,24,488
fs2,8,8-month horizon,2021-10,conflict,Conflict,0.09524786436195316,0.21773066306576988,38,0.4374572833279879,24,488
fs2,8,8-month horizon,2021-10,econ,Econ,0.11340138434070181,0.2592284747849952,16,0.4374572833279879,24,488
fs2,8,8-month horizon,2021-10,food_prices,Food Prices,0.02396454212334327,0.05478144503854476,6,0.4374572833279879,24,488
fs2,8,8-month horizon,2021-10,geographic,Geographic,0.03553044616067198,0.08122037857130084,8,0.4374572833279879,24,488
fs2,8,8-month horizon,2021-10,lag,Lag,0.10847526946402386,0.24796768415601728,6,0.4374572833279879,24,488
fs2,8,8-month horizon,2022-02,weather,Weather,0.033910501573019156,0.07864306338602446,8,0.4311950744666101,33,479
fs2,8,8-month horizon,2022-02,agri,Agri,0.03270853826288902,0.07585554705918104,24,0.4311950744666101,33,479
fs2,8,8-month horizon,2022-02,conflict,Conflict,0.08568796991128252,0.19872205177037067,38,0.4311950744666101,33,479
fs2,8,8-month horizon,2022-02,econ,Econ,0.10198588205507227,0.23651912578368198,16,0.4311950744666101,33,479
fs2,8,8-month horizon,2022-02,food_prices,Food Prices,0.015944221309828442,0.036976816883985755,6,0.4311950744666101,33,479
fs2,8,8-month horizon,2022-02,geographic,Geographic,0.03828103549627329,0.08877892574173551,8,0.4311950744666101,33,479
fs2,8,8-month horizon,2022-02,lag,Lag,0.12267692585824543,0.28450446937502066,6,0.4311950744666101,33,479
fs2,8,8-month horizon,2022-06,weather,Weather,0.0287882354829138,0.06433451484661673,8,0.4474773075004814,23,489
fs2,8,8-month horizon,2022-06,agri,Agri,0.032291782395204915,0.07216406699052594,24,0.4474773075004814,23,489
fs2,8,8-month horizon,2022-06,conflict,Conflict,0.09198265760810953,0.20555826198630323,38,0.4474773075004814,23,489
fs2,8,8-month horizon,2022-06,econ,Econ,0.1008987626453495,0.22548352945303476,16,0.4474773075004814,23,489
fs2,8,8-month horizon,2022-06,food_prices,Food Prices,0.014136977545877366,0.03159261332120659,6,0.4474773075004814,23,489
fs2,8,8-month horizon,2022-06,geographic,Geographic,0.034576783870548064,0.07727047448212972,8,0.4474773075004814,23,489
fs2,8,8-month horizon,2022-06,lag,Lag,0.14480210795247822,0.323596538920183,6,0.4474773075004814,23,489
fs2,8,8-month horizon,2022-10,weather,Weather,0.028976858666746225,0.06759502462821274,8,0.42868330659135373,19,493
fs2,8,8-month horizon,2022-10,agri,Agri,0.034755283132215126,0.08107449624891952,24,0.42868330659135373,19,493
