period,horizon_months,cohort,dimension,country_id,country_en,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,6,E_all,country,El Salvador,El Salvador,xgb,57,19,1,12,0.21052631578947367,9,1,8,11,37,0.09523809523809523,0.1111111111111111,0.08333333333333333,,,
main,6,E_all,country,Eswatini,Eswatini,partitioned_rf,32,21,1,11,0.34375,5,2,3,9,18,0.25,0.4,0.18181818181818182,,,
main,6,E_all,country,Eswatini,Eswatini,pooled_rf,32,21,1,11,0.34375,3,2,1,9,20,0.2857142857142857,0.6666666666666666,0.18181818181818182,,,
main,6,E_all,country,Eswatini,Eswatini,xgb,32,21,1,11,0.34375,16,7,9,4,12,0.5185185185185185,0.4375,0.6363636363636364,,,
main,6,E_all,country,Ethiopia,Ethiopia,partitioned_rf,76,38,1,46,0.6052631578947368,57,35,22,11,8,0.6796116504854369,0.6140350877192983,0.7608695652173914,,,
main,6,E_all,country,Ethiopia,Ethiopia,pooled_rf,76,38,1,46,0.6052631578947368,60,38,22,8,8,0.7169811320754716,0.6333333333333333,0.8260869565217391,,,
main,6,E_all,country,Ethiopia,Ethiopia,xgb,76,38,1,46,0.6052631578947368,60,38,22,8,8,0.7169811320754716,0.6333333333333333,0.8260869565217391,,,
main,6,E_all,country,Gambia,Gambia,partitioned_rf,32,8,1,0,0.0,0,0,0,0,32,,,,no_positive_truth_and_no_positive_prediction,no_predicted_positives,no_observed_positives
main,6,E_all,country,Gambia,Gambia,pooled_rf,32,8,1,0,0.0,0,0,0,0,32,,,,no_positive_truth_and_no_positive_prediction,no_predicted_positives,no_observed_positives
main,6,E_all,country,Gambia,Gambia,xgb,32,8,1,0,0.0,0,0,0,0,32,,,,no_positive_truth_and_no_positive_prediction,no_predicted_positives,no_observed_positives
main,6,E_all,country,Ghana,Ghana,partitioned_rf,265,66,1,45,0.16981132075471697,5,3,2,42,218,0.12,0.6,0.06666666666666667,,,
main,6,E_all,country,Ghana,Ghana,pooled_rf,265,66,1,45,0.16981132075471697,3,2,1,43,219,0.08333333333333333,0.6666666666666666,0.044444444444444446,,,
main,6,E_all,country,Ghana,Ghana,xgb,265,66,1,45,0.16981132075471697,30,11,19,34,201,0.29333333333333333,0.36666666666666664,0.24444444444444444,,,
main,6,E_all,country,Guatemala,Guatemala,partitioned_rf,260,100,1,32,0.12307692307692308,62,22,40,10,188,0.46808510638297873,0.3548387096774194,0.6875,,,
main,6,E_all,country,Guatemala,Guatemala,pooled_rf,260,100,1,32,0.12307692307692308,68,22,46,10,182,0.44,0.3235294117647059,0.6875,,,
main,6,E_all,country,Guatemala,Guatemala,xgb,260,100,1,32,0.12307692307692308,67,21,46,11,182,0.42424242424242425,0.31343283582089554,0.65625,,,
main,6,E_all,country,Guinea,Guinea,partitioned_rf,111,33,1,4,0.036036036036036036,0,0,0,4,107,0.0,,0.0,,no_predicted_positives,
