period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,1059,724,335,322,448,0.6878859857482186,0.6836638338054769,0.6921606118546845,,,
partial_2026,1,E_all,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,896,647,249,399,534,0.666323377960865,0.7220982142857143,0.6185468451242829,,,
partial_2026,1,E_all,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,965,732,233,314,550,0.7279960218796618,0.7585492227979275,0.6998087954110899,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,partitioned_rf,1877,1724,27,764,0.4070324986680874,873,523,350,241,763,0.6389737324373854,0.5990836197021764,0.6845549738219895,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,pooled_rf,1877,1724,27,764,0.4070324986680874,655,447,208,317,905,0.6300211416490487,0.6824427480916031,0.5850785340314136,,,
partial_2026,1,E_all,assignment_provenance,nearest_donor,xgb,1877,1724,27,764,0.4070324986680874,637,465,172,299,941,0.6638115631691649,0.7299843014128728,0.6086387434554974,,,
partial_2026,1,E_all,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,142,96,46,17,227,0.7529411764705882,0.676056338028169,0.8495575221238938,,,
partial_2026,1,E_all,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,142,96,46,17,227,0.7529411764705882,0.676056338028169,0.8495575221238938,,,
partial_2026,1,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,137,93,44,20,229,0.744,0.6788321167883211,0.8230088495575221,,,
partial_2026,1,E_persist,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,1059,724,335,322,448,0.6878859857482186,0.6836638338054769,0.6921606118546845,,,
partial_2026,1,E_persist,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,896,647,249,399,534,0.666323377960865,0.7220982142857143,0.6185468451242829,,,
partial_2026,1,E_persist,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,965,732,233,314,550,0.7279960218796618,0.7585492227979275,0.6998087954110899,,,
partial_2026,1,E_persist,assignment_provenance,learned,persistence,1829,1608,27,1046,0.5718972115910333,915,642,273,404,510,0.6547679755226925,0.7016393442622951,0.6137667304015296,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1874,1721,27,761,0.40608324439701177,870,520,350,241,763,0.6376456161863887,0.5977011494252874,0.683311432325887,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,pooled_rf,1874,1721,27,761,0.40608324439701177,654,446,208,315,905,0.6303886925795052,0.6819571865443425,0.5860709592641261,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,xgb,1874,1721,27,761,0.40608324439701177,634,462,172,299,941,0.6623655913978495,0.7287066246056783,0.607095926412615,,,
partial_2026,1,E_persist,assignment_provenance,nearest_donor,persistence,1874,1721,27,761,0.40608324439701177,678,363,315,398,798,0.5045170257123002,0.5353982300884956,0.47700394218134035,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,142,96,46,17,227,0.7529411764705882,0.676056338028169,0.8495575221238938,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,142,96,46,17,227,0.7529411764705882,0.676056338028169,0.8495575221238938,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,137,93,44,20,229,0.744,0.6788321167883211,0.8230088495575221,,,
partial_2026,1,E_persist,assignment_provenance,unresolved,persistence,386,378,14,113,0.2927461139896373,156,87,69,26,204,0.6468401486988847,0.5576923076923077,0.7699115044247787,,,
partial_2026,3,E_all,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,820,575,245,471,538,0.6162915326902465,0.7012195121951219,0.5497131931166348,,,
partial_2026,3,E_all,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,795,579,216,467,567,0.6290059750135796,0.7283018867924528,0.5535372848948374,,,
partial_2026,3,E_all,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,978,741,237,305,546,0.7322134387351779,0.7576687116564417,0.7084130019120459,,,
partial_2026,3,E_all,assignment_provenance,nearest_donor,partitioned_rf,1877,1724,27,764,0.4070324986680874,667,391,276,373,837,0.546470999301188,0.5862068965517241,0.5117801047120419,,,
partial_2026,3,E_all,assignment_provenance,nearest_donor,pooled_rf,1877,1724,27,764,0.4070324986680874,571,370,201,394,912,0.5543071161048689,0.647985989492119,0.48429319371727747,,,
partial_2026,3,E_all,assignment_provenance,nearest_donor,xgb,1877,1724,27,764,0.4070324986680874,659,440,219,324,894,0.6184118060435699,0.6676783004552352,0.5759162303664922,,,
partial_2026,3,E_all,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,114,77,37,36,236,0.6784140969162996,0.6754385964912281,0.6814159292035398,,,
partial_2026,3,E_all,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,114,77,37,36,236,0.6784140969162996,0.6754385964912281,0.6814159292035398,,,
partial_2026,3,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,155,94,61,19,212,0.7014925373134329,0.6064516129032258,0.831858407079646,,,
partial_2026,3,E_persist,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,820,575,245,471,538,0.6162915326902465,0.7012195121951219,0.5497131931166348,,,
partial_2026,3,E_persist,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,795,579,216,467,567,0.6290059750135796,0.7283018867924528,0.5535372848948374,,,
partial_2026,3,E_persist,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,978,741,237,305,546,0.7322134387351779,0.7576687116564417,0.7084130019120459,,,
partial_2026,3,E_persist,assignment_provenance,learned,persistence,1829,1608,27,1046,0.5718972115910333,933,659,274,387,509,0.6659929257200606,0.7063236870310825,0.630019120458891,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1874,1721,27,761,0.40608324439701177,665,389,276,372,837,0.5455820476858345,0.5849624060150376,0.5111695137976346,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,pooled_rf,1874,1721,27,761,0.40608324439701177,569,368,201,393,912,0.5533834586466165,0.6467486818980668,0.4835742444152431,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,xgb,1874,1721,27,761,0.40608324439701177,656,437,219,324,894,0.6167960479887086,0.6661585365853658,0.5742444152431012,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,persistence,1874,1721,27,761,0.40608324439701177,690,365,325,396,788,0.5031013094417643,0.5289855072463768,0.47963206307490147,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,114,77,37,36,236,0.6784140969162996,0.6754385964912281,0.6814159292035398,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,114,77,37,36,236,0.6784140969162996,0.6754385964912281,0.6814159292035398,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,155,94,61,19,212,0.7014925373134329,0.6064516129032258,0.831858407079646,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,persistence,386,378,14,113,0.2927461139896373,156,87,69,26,204,0.6468401486988847,0.5576923076923077,0.7699115044247787,,,
