admin_code,branch_id,partition_code,assignment_source,donor_admin_code,donor_distance_km,nearest_eligible_admin_code,nearest_eligible_distance_km,model_route,fallback_reason,was_placeholder_root
355,,-1,unresolved,-1,,100031,2767.9542000090637,pooled_root,nearest eligible donor beyond 100 km,False
356,,-1,unresolved,-1,,100113,2821.9816939281113,pooled_root,nearest eligible donor beyond 100 km,False
357,,-1,unresolved,-1,,100113,2853.4751192708923,pooled_root,nearest eligible donor beyond 100 km,False
358,,-1,unresolved,-1,,100113,3649.548638509159,pooled_root,nearest eligible donor beyond 100 km,False
359,,-1,unresolved,-1,,100113,3649.549185219229,pooled_root,nearest eligible donor beyond 100 km,False
360,,-1,unresolved,-1,,100113,2870.414419282747,pooled_root,nearest eligible donor beyond 100 km,False
361,,-1,unresolved,-1,,100113,2870.405891109243,pooled_root,nearest eligible donor beyond 100 km,False
362,,-1,unresolved,-1,,100113,2870.403272588577,pooled_root,nearest eligible donor beyond 100 km,False
363,,-1,unresolved,-1,,100113,2870.3215123079285,pooled_root,nearest eligible donor beyond 100 km,False
364,,-1,unresolved,-1,,100031,2779.8074827794753,pooled_root,nearest eligible donor beyond 100 km,False
365,,-1,unresolved,-1,,100113,2810.5409338391437,pooled_root,nearest eligible donor beyond 100 km,False
366,,-1,unresolved,-1,,100113,2837.973800815982,pooled_root,nearest eligible donor beyond 100 km,False
367,,-1,unresolved,-1,,100113,2837.9671270944873,pooled_root,nearest eligible donor beyond 100 km,False
368,,-1,unresolved,-1,,100113,2837.9621109355644,pooled_root,nearest eligible donor beyond 100 km,False
369,,-1,unresolved,-1,,100000,2422.4783889020605,pooled_root,nearest eligible donor beyond 100 km,False
370,,-1,unresolved,-1,,100113,2825.5924659098714,pooled_root,nearest eligible donor beyond 100 km,False
371,,-1,unresolved,-1,,100113,2825.8261569003453,pooled_root,nearest eligible donor beyond 100 km,False
372,,-1,unresolved,-1,,100113,2824.9677588635404,pooled_root,nearest eligible donor beyond 100 km,False
373,,-1,unresolved,-1,,100113,2870.1931306726,pooled_root,nearest eligible donor beyond 100 km,False
374,,-1,unresolved,-1,,100113,2870.1700638398906,pooled_root,nearest eligible donor beyond 100 km,False
375,,-1,unresolved,-1,,100113,2870.0998520524977,pooled_root,nearest eligible donor beyond 100 km,False
376,,-1,unresolved,-1,,100113,2856.2366807616327,pooled_root,nearest eligible donor beyond 100 km,False
377,,-1,unresolved,-1,,100113,2813.606648869939,pooled_root,nearest eligible donor beyond 100 km,False
378,,-1,unresolved,-1,,100113,2811.4643586506722,pooled_root,nearest eligible donor beyond 100 km,False
379,,-1,unresolved,-1,,100113,2746.142126818067,pooled_root,nearest eligible donor beyond 100 km,False
380,,-1,unresolved,-1,,100113,2838.1378469918036,pooled_root,nearest eligible donor beyond 100 km,False
381,,-1,unresolved,-1,,100031,2677.276012265063,pooled_root,nearest eligible donor beyond 100 km,False
382,,-1,unresolved,-1,,100031,2702.837433068243,pooled_root,nearest eligible donor beyond 100 km,False
383,,-1,unresolved,-1,,100113,2793.6275654701103,pooled_root,nearest eligible donor beyond 100 km,False
384,,-1,unresolved,-1,,100113,2793.5415133244423,pooled_root,nearest eligible donor beyond 100 km,False
385,,-1,unresolved,-1,,100031,2650.2475911033,pooled_root,nearest eligible donor beyond 100 km,False
386,,-1,unresolved,-1,,100113,2780.9429728455766,pooled_root,nearest eligible donor beyond 100 km,False
387,,-1,unresolved,-1,,100113,2780.826482652071,pooled_root,nearest eligible donor beyond 100 km,False
388,,-1,unresolved,-1,,100113,2780.679333107661,pooled_root,nearest eligible donor beyond 100 km,False
389,,-1,unresolved,-1,,100113,2739.434284170585,pooled_root,nearest eligible donor beyond 100 km,False
390,,-1,unresolved,-1,,100031,2607.5993369911225,pooled_root,nearest eligible donor beyond 100 km,False
391,,-1,unresolved,-1,,100113,3596.8885204020576,pooled_root,nearest eligible donor beyond 100 km,False
392,,-1,unresolved,-1,,100113,2753.3497653959294,pooled_root,nearest eligible donor beyond 100 km,False
393,,-1,unresolved,-1,,100113,2795.2462670706486,pooled_root,nearest eligible donor beyond 100 km,False
394,,-1,unresolved,-1,,100113,2793.1026350077905,pooled_root,nearest eligible donor beyond 100 km,False
395,,-1,unresolved,-1,,100113,2793.089434336143,pooled_root,nearest eligible donor beyond 100 km,False
396,,-1,unresolved,-1,,100113,2793.005183392153,pooled_root,nearest eligible donor beyond 100 km,False
397,,-1,unresolved,-1,,100002,2386.4815055983754,pooled_root,nearest eligible donor beyond 100 km,False
398,,-1,unresolved,-1,,100031,2690.943177836343,pooled_root,nearest eligible donor beyond 100 km,False
399,,-1,unresolved,-1,,100113,2817.4692443894755,pooled_root,nearest eligible donor beyond 100 km,False
400,,-1,unresolved,-1,,100113,2817.4416913996765,pooled_root,nearest eligible donor beyond 100 km,False
401,,-1,unresolved,-1,,100113,2817.3896645967766,pooled_root,nearest eligible donor beyond 100 km,False
402,,-1,unresolved,-1,,100004,2416.637812092335,pooled_root,nearest eligible donor beyond 100 km,False
403,,-1,unresolved,-1,,100002,2360.7650711454367,pooled_root,nearest eligible donor beyond 100 km,False
404,,-1,unresolved,-1,,100113,2825.493480208429,pooled_root,nearest eligible donor beyond 100 km,False
405,,-1,unresolved,-1,,100113,2825.4584959722038,pooled_root,nearest eligible donor beyond 100 km,False
