scope,forecasting_horizon,model,recall,precision,threshold,average_precision
fs1,4-month horizon,pooled,0.24727692815491253,0.8634268152132155,0.76,0.7419570760223246
fs1,4-month horizon,pooled,0.23517438662119045,0.8655598299250861,0.77,0.7419570760223246
fs1,4-month horizon,pooled,0.2214765100671141,0.868421052631579,0.78,0.7419570760223246
fs1,4-month horizon,pooled,0.20909891077126197,0.8701923076923077,0.79,0.7419570760223246
fs1,4-month horizon,pooled,0.19661128837055783,0.8706455542021925,0.8,0.7419570760223246
fs1,4-month horizon,pooled,0.18379359665529763,0.8698255662587868,0.81,0.7419570760223246
fs1,4-month horizon,pooled,0.17174606667400155,0.8701226309921962,0.82,0.7419570760223246
fs1,4-month horizon,pooled,0.15837825943448125,0.8687386843693422,0.83,0.7419570760223246
fs1,4-month horizon,pooled,0.14567059082407305,0.868766404199475,0.84,0.7419570760223246
fs1,4-month horizon,pooled,0.13499834965342722,0.8729989327641409,0.85,0.7419570760223246
fs1,4-month horizon,pooled,0.12317086588183518,0.8783836798744605,0.86,0.7419570760223246
fs1,4-month horizon,pooled,0.11255363626361536,0.8845654993514915,0.87,0.7419570760223246
fs1,4-month horizon,pooled,0.10193640664539554,0.8943050193050193,0.88,0.7419570760223246
fs1,4-month horizon,pooled,0.0901089228738035,0.9059734513274337,0.89,0.7419570760223246
fs1,4-month horizon,pooled,0.07954670480800968,0.9198473282442748,0.9,0.7419570760223246
fs1,4-month horizon,pooled,0.06870942898008582,0.932089552238806,0.91,0.7419570760223246
fs1,4-month horizon,pooled,0.058807349543404115,0.9451812555260831,0.92,0.7419570760223246
fs1,4-month horizon,pooled,0.047474969743646164,0.9631696428571429,0.93,0.7419570760223246
fs1,4-month horizon,pooled,0.038178017383650564,0.9733520336605891,0.94,0.7419570760223246
fs1,4-month horizon,pooled,0.02778083397513478,0.986328125,0.95,0.7419570760223246
fs1,4-month horizon,pooled,0.018923974034547254,0.9971014492753624,0.96,0.7419570760223246
fs1,4-month horizon,pooled,0.012322587743426119,1.0,0.97,0.7419570760223246
fs1,4-month horizon,pooled,0.0070964902629552205,1.0,0.98,0.7419570760223246
fs1,4-month horizon,pooled,0.003465727802838596,1.0,0.99,0.7419570760223246
fs1,4-month horizon,pooled,0.0006051270766861041,1.0,1.0,0.7419570760223246
fs1,4-month horizon,pooled,0.0,1.0,,0.7419570760223246
fs1,4-month horizon,partitioned,1.0,0.29230249722619756,0.0,0.7678856116105378
fs1,4-month horizon,partitioned,0.999944988447574,0.30011392342364657,0.01,0.7678856116105378
fs1,4-month horizon,partitioned,0.9994498844757399,0.3090689485055203,0.02,0.7678856116105378
fs1,4-month horizon,partitioned,0.9984046649796458,0.3176511770368426,0.03,0.7678856116105378
fs1,4-month horizon,partitioned,0.9971393992738475,0.326494587243547,0.04,0.7678856116105378
fs1,4-month horizon,partitioned,0.9950489602816591,0.33618943181606975,0.05,0.7678856116105378
fs1,4-month horizon,partitioned,0.9924084057652107,0.3465099304675195,0.06,0.7678856116105378
fs1,4-month horizon,partitioned,0.9887226317526681,0.356734548052876,0.07,0.7678856116105378
fs1,4-month horizon,partitioned,0.9848718230828474,0.3675275086221054,0.08,0.7678856116105378
fs1,4-month horizon,partitioned,0.9812410606227308,0.37838353839626643,0.09,0.7678856116105378
fs1,4-month horizon,partitioned,0.976785124876224,0.3898989898989899,0.1,0.7678856116105378
fs1,4-month horizon,partitioned,0.9724942237869952,0.4015354563212647,0.11,0.7678856116105378
fs1,4-month horizon,partitioned,0.9680382880404885,0.41304602962232706,0.12,0.7678856116105378
fs1,4-month horizon,partitioned,0.9628672021124436,0.42413007657264706,0.13,0.7678856116105378
fs1,4-month horizon,partitioned,0.9586313125756409,0.4355628874225155,0.14,0.7678856116105378
fs1,4-month horizon,partitioned,0.95340521509517,0.44607742201173683,0.15,0.7678856116105378
