position,name,block
236,hist_q4_slope_last6,observation_trends
237,hist_q5_slope_last3,observation_trends
238,hist_q5_slope_last6,observation_trends
239,hist_severity_index_slope_last3,observation_trends
240,hist_severity_index_slope_last6,observation_trends
241,hist_entropy_slope_last3,observation_trends
242,hist_entropy_slope_last6,observation_trends
243,hist_concentration_slope_last3,observation_trends
244,hist_concentration_slope_last6,observation_trends
245,hist_severe_fraction_slope_last3,observation_trends
246,hist_severe_fraction_slope_last6,observation_trends
247,hist_q2_m06_mean,window_statistics
248,hist_q2_m06_std,window_statistics
249,hist_q2_m06_min,window_statistics
250,hist_q2_m06_max,window_statistics
251,hist_q2_m06_latest_minus_mean,window_statistics
252,hist_q2_m06_slope,window_statistics
253,hist_q2_m12_mean,window_statistics
254,hist_q2_m12_std,window_statistics
255,hist_q2_m12_min,window_statistics
256,hist_q2_m12_max,window_statistics
257,hist_q2_m12_latest_minus_mean,window_statistics
258,hist_q2_m12_slope,window_statistics
259,hist_q2_m24_mean,window_statistics
260,hist_q2_m24_std,window_statistics
261,hist_q2_m24_min,window_statistics
262,hist_q2_m24_max,window_statistics
263,hist_q2_m24_latest_minus_mean,window_statistics
264,hist_q2_m24_slope,window_statistics
265,hist_q2_m36_mean,window_statistics
266,hist_q2_m36_std,window_statistics
267,hist_q2_m36_min,window_statistics
268,hist_q2_m36_max,window_statistics
269,hist_q2_m36_latest_minus_mean,window_statistics
270,hist_q2_m36_slope,window_statistics
271,hist_q2_all_mean,window_statistics
272,hist_q2_all_std,window_statistics
273,hist_q2_all_min,window_statistics
274,hist_q2_all_max,window_statistics
275,hist_q2_all_latest_minus_mean,window_statistics
276,hist_q2_all_slope,window_statistics
277,hist_q3_m06_mean,window_statistics
278,hist_q3_m06_std,window_statistics
279,hist_q3_m06_min,window_statistics
280,hist_q3_m06_max,window_statistics
281,hist_q3_m06_latest_minus_mean,window_statistics
282,hist_q3_m06_slope,window_statistics
283,hist_q3_m12_mean,window_statistics
284,hist_q3_m12_std,window_statistics
285,hist_q3_m12_min,window_statistics
286,hist_q3_m12_max,window_statistics
287,hist_q3_m12_latest_minus_mean,window_statistics
288,hist_q3_m12_slope,window_statistics
289,hist_q3_m24_mean,window_statistics
290,hist_q3_m24_std,window_statistics
291,hist_q3_m24_min,window_statistics
292,hist_q3_m24_max,window_statistics
293,hist_q3_m24_latest_minus_mean,window_statistics
294,hist_q3_m24_slope,window_statistics
295,hist_q3_m36_mean,window_statistics
296,hist_q3_m36_std,window_statistics
297,hist_q3_m36_min,window_statistics
298,hist_q3_m36_max,window_statistics
299,hist_q3_m36_latest_minus_mean,window_statistics
300,hist_q3_m36_slope,window_statistics
301,hist_q3_all_mean,window_statistics
302,hist_q3_all_std,window_statistics
303,hist_q3_all_min,window_statistics
304,hist_q3_all_max,window_statistics
305,hist_q3_all_latest_minus_mean,window_statistics
306,hist_q3_all_slope,window_statistics
307,hist_q4_m06_mean,window_statistics
308,hist_q4_m06_std,window_statistics
309,hist_q4_m06_min,window_statistics
310,hist_q4_m06_max,window_statistics
311,hist_q4_m06_latest_minus_mean,window_statistics
312,hist_q4_m06_slope,window_statistics
313,hist_q4_m12_mean,window_statistics
314,hist_q4_m12_std,window_statistics
315,hist_q4_m12_min,window_statistics
316,hist_q4_m12_max,window_statistics
317,hist_q4_m12_latest_minus_mean,window_statistics
318,hist_q4_m12_slope,window_statistics
319,hist_q4_m24_mean,window_statistics
320,hist_q4_m24_std,window_statistics
321,hist_q4_m24_min,window_statistics
322,hist_q4_m24_max,window_statistics
323,hist_q4_m24_latest_minus_mean,window_statistics
324,hist_q4_m24_slope,window_statistics
325,hist_q4_m36_mean,window_statistics
326,hist_q4_m36_std,window_statistics
327,hist_q4_m36_min,window_statistics
328,hist_q4_m36_max,window_statistics
