scope,forecasting_horizon,region,metric,support,n_countries,pooled_point,pooled_ci_low,pooled_ci_high,partitioned_point,partitioned_ci_low,partitioned_ci_high,delta_point,delta_ci_low,delta_ci_high
fs2,8-month horizon,East Africa,precision,29999,7,0.7235494880546075,0.6381628222523744,0.8987025357896776,0.745208243262718,0.6718277945619335,0.8486685152563989,0.021658755208110447,-0.0346594665617527,0.04344818382661875
fs2,8-month horizon,East Africa,recall,29999,7,0.4859201047806156,0.3928135826200051,0.6195735778633729,0.5643964199956342,0.47153217382671364,0.6762386858591264,0.07847631521501858,0.03946841112369511,0.12086887170648904
fs2,8-month horizon,East Africa,f1,29999,7,0.5813907933398629,0.4866718056156433,0.7017101205494813,0.6423203527731198,0.570688611427772,0.7419032233248711,0.06092955943325695,0.023720843857255033,0.09164417912097787
fs2,8-month horizon,East Africa,brier,29999,7,0.1433732957765259,0.08854122717293467,0.19050577701013147,0.13156150538351277,0.08276004069220676,0.17862717859509608,-0.011811790393013138,-0.01788626085402803,-0.003801918616550287
fs2,8-month horizon,Southern Africa,precision,7952,4,0.36605890603085556,0.168,0.54,0.4070305272895467,0.3871866295264624,0.41916167664670656,0.04097162125869114,-0.13854014598540149,0.2388965517241379
fs2,8-month horizon,Southern Africa,recall,7952,4,0.19191176470588237,0.06461538461538462,0.2589126559714795,0.3235294117647059,0.16548463356973994,0.4019607843137255,0.13161764705882353,0.09954751131221719,0.14436619718309857
fs2,8-month horizon,Southern Africa,f1,7952,4,0.25180897250361794,0.09333333333333334,0.3026829903620734,0.3605079885292913,0.23728813559322032,0.40676437429537765,0.10869901602567333,0.09085717018768441,0.1577304964539007
fs2,8-month horizon,Southern Africa,brier,7952,4,0.12839841549295775,0.08360599875350577,0.19080918984280532,0.13809342303822936,0.07918755395683452,0.20161145707376057,0.009695007545271611,-0.00873082292432037,0.020682735910170585
fs2,8-month horizon,West Africa,precision,8738,5,0.8378926038500507,0.6586538461538461,0.9572107765451664,0.8358881875563571,0.6944444444444444,0.9494773519163763,-0.002004416293693634,-0.03460505649288137,0.07148917424007573
fs2,8-month horizon,West Africa,recall,8738,5,0.5061199510403916,0.23262390021160487,0.5844869870071865,0.5673194614443084,0.2845528455284553,0.6419469915273619,0.0611995104039168,0.04004329004329005,0.0849740932642487
fs2,8-month horizon,West Africa,f1,8738,5,0.6310568485310951,0.353963018202968,0.6869529773171048,0.6759022967553774,0.40369088811995385,0.7296518074961189,0.04484544822428227,0.03073104536123139,0.08968472604836247
fs2,8-month horizon,West Africa,brier,8738,5,0.0901993934538796,0.061170282258064514,0.11238933058925478,0.08386613641565577,0.05687909946236559,0.10664595100864555,-0.006333257038223836,-0.010483657527952203,0.000806026058631934
fs3,12-month horizon,East Africa,precision,29999,7,0.6842197957027122,0.6100805359678233,0.8483124628766242,0.7051162790697675,0.6272446943587883,0.823040819123019,0.020896483367055296,-0.026704316805853313,0.042592381329799
fs3,12-month horizon,East Africa,recall,29999,7,0.42403405370006547,0.30794063343148154,0.5828039155976805,0.49639816633922723,0.37100881085376025,0.6571884520528072,0.07236411263916176,0.03374061855977894,0.11385969320285635
fs3,12-month horizon,East Africa,f1,29999,7,0.5235849056603773,0.4298308270676693,0.66732830488289,0.5826287471176018,0.4822650024371461,0.6986698714171099,0.05904384145722452,0.02570289452346295,0.09039254850794444
fs3,12-month horizon,East Africa,brier,29999,7,0.15533466782226077,0.10002957769366572,0.2017596697547161,0.14390368345611523,0.0917822294976159,0.19139811691536757,-0.011430984366145536,-0.01560618632534019,-0.006219773373349209
fs3,12-month horizon,Southern Africa,precision,7952,4,0.3084311632870864,0.20610687022900764,0.5370370370370371,0.30403800475059384,0.27010309278350514,0.4383561643835616,-0.004393158536492581,-0.11129446277961136,0.13580897585113938
fs3,12-month horizon,Southern Africa,recall,7952,4,0.2125,0.043740573152337855,0.3244206773618538,0.2823529411764706,0.10874704491725769,0.36363636363636365,0.06985294117647059,0.031213872832369982,0.1408094435075885
fs3,12-month horizon,Southern Africa,f1,7952,4,0.2516325642141924,0.0725,0.3139961181798576,0.29279451010293556,0.16911764705882354,0.3156437471158283,0.04116194588874317,-0.004028601120473541,0.16099463079027412
fs3,12-month horizon,Southern Africa,brier,7952,4,0.13874076961770623,0.08874912745403553,0.2072354292623942,0.15470885311871227,0.08456836930455636,0.2322940145102781,0.015968083501006036,-0.009585819250551061,0.029884711350293552
fs3,12-month horizon,West Africa,precision,8738,5,0.8042269187986651,0.6494252873563219,0.9397905759162304,0.8367346938775511,0.7697232142857143,0.9659284497444633,0.032507775078885914,0.01637347698972,0.1344950418792722
fs3,12-month horizon,West Africa,recall,8738,5,0.4424724602203182,0.18976791453961053,0.5400492914356131,0.47674418604651164,0.15270975771387935,0.5757855822550831,0.03427172582619342,-0.04552845528455285,0.10291734197730956
fs3,12-month horizon,West Africa,f1,8738,5,0.5708645874457166,0.30110184994412087,0.6456721915285453,0.6074074074074074,0.25485091735271376,0.6746566026757392,0.03654281996169084,-0.05260084065111234,0.11313548461398587
fs3,12-month horizon,West Africa,brier,8738,5,0.09965833142595559,0.06951092741935484,0.12216323656845753,0.09466750972762646,0.06729174731182795,0.11414577809798271,-0.004990821698329137,-0.011057284286855505,0.0031947544231173035
