test_month,model,precision,recall,f1,n,tp,fp,fn,tn,pct_err_all,pct_err_class1,scope,forecasting_horizon
2021-06,pooled,0.9090909090909092,0.4142011834319526,0.5691056910569106,4385,70,7,99,4209,0.0241733181299886,0.5857988165680473,fs2,8-month lag
2021-06,partitioned,0.5238095238095238,0.1301775147928994,0.2085308056872038,4385,22,20,147,4196,0.0380843785632839,0.8698224852071006,fs2,8-month lag
2021-06,partitioned_thresholded,0.5391304347826087,0.3668639053254438,0.4366197183098591,4385,62,53,107,4163,0.0364880273660205,0.6331360946745562,fs2,8-month lag
2021-10,pooled,0.96875,0.504885993485342,0.6638115631691649,4974,155,5,152,4662,0.0315641334941696,0.495114006514658,fs2,8-month lag
2021-10,partitioned,0.5740740740740741,0.1009771986970684,0.1717451523545706,4974,31,23,276,4644,0.0601125854443104,0.8990228013029316,fs2,8-month lag
2021-10,partitioned_thresholded,0.3864942528735632,0.8762214983713354,0.5363908275174476,4974,269,427,38,4240,0.0934861278648974,0.1237785016286645,fs2,8-month lag
2022-02,pooled,0.9788359788359788,0.4048140043763676,0.5727554179566564,4974,185,4,272,4513,0.0554885404101326,0.5951859956236324,fs2,8-month lag
2022-02,partitioned,0.8846153846153846,0.0503282275711159,0.0952380952380952,4974,23,3,434,4514,0.0878568556493767,0.949671772428884,fs2,8-month lag
2022-02,partitioned_thresholded,0.7864583333333334,0.3304157549234136,0.4653312788906009,4974,151,41,306,4476,0.069762766385203,0.6695842450765864,fs2,8-month lag
2022-06,pooled,0.9940828402366864,0.467966573816156,0.6363636363636364,4864,168,1,191,4504,0.0394736842105263,0.532033426183844,fs2,8-month lag
2022-06,partitioned,0.9722222222222222,0.2924791086350975,0.449678800856531,4864,105,3,254,4502,0.0528371710526315,0.7075208913649025,fs2,8-month lag
2022-06,partitioned_thresholded,0.8303886925795053,0.6545961002785515,0.7320872274143302,4864,235,48,124,4457,0.0353618421052631,0.3454038997214484,fs2,8-month lag
2022-10,pooled,0.972972972972973,0.484304932735426,0.6467065868263473,5012,108,3,115,4786,0.0235434956105347,0.515695067264574,fs2,8-month lag
2022-10,partitioned,0.7878787878787878,0.116591928251121,0.203125,5012,26,7,197,4782,0.0407023144453312,0.8834080717488789,fs2,8-month lag
2022-10,partitioned_thresholded,0.7027027027027027,0.2331838565022421,0.3501683501683502,5012,52,22,171,4767,0.0385075818036711,0.7668161434977578,fs2,8-month lag
2023-02,pooled,0.8666666666666667,0.4561403508771929,0.5977011494252873,4860,52,8,62,4738,0.0144032921810699,0.543859649122807,fs2,8-month lag
2023-02,partitioned,0.8695652173913043,0.3508771929824561,0.5,4860,40,6,74,4740,0.0164609053497942,0.6491228070175439,fs2,8-month lag
2023-02,partitioned_thresholded,0.4528301886792453,0.631578947368421,0.5274725274725275,4860,72,87,42,4659,0.0265432098765432,0.3684210526315789,fs2,8-month lag
2023-06,pooled,0.9807692307692308,0.5425531914893617,0.6986301369863013,5555,357,7,301,4890,0.0554455445544554,0.4574468085106383,fs2,8-month lag
2023-06,partitioned,0.9779411764705882,0.4042553191489361,0.5720430107526882,5555,266,6,392,4891,0.0716471647164716,0.5957446808510638,fs2,8-month lag
2023-06,partitioned_thresholded,0.7626628075253257,0.8009118541033434,0.781319495922906,5555,527,164,131,4733,0.0531053105310531,0.1990881458966565,fs2,8-month lag
2023-10,pooled,0.9477124183006536,0.4707792207792208,0.6290672451193059,5410,145,8,163,5094,0.0316081330868761,0.5292207792207793,fs2,8-month lag
2023-10,partitioned,0.7875,0.2045454545454545,0.3247422680412371,5410,63,17,245,5085,0.0484288354898336,0.7954545454545454,fs2,8-month lag
2023-10,partitioned_thresholded,0.5073313782991202,0.5616883116883117,0.5331278890600925,5410,173,168,135,4934,0.0560073937153419,0.4383116883116883,fs2,8-month lag
2024-02,pooled,0.952755905511811,0.415807560137457,0.5789473684210527,5697,121,6,170,5400,0.0308934526944005,0.584192439862543,fs2,8-month lag
2024-02,partitioned,0.9210526315789472,0.120274914089347,0.2127659574468085,5697,35,3,256,5403,0.0454625241355099,0.8797250859106529,fs2,8-month lag
2024-02,partitioned_thresholded,0.6613545816733067,0.570446735395189,0.6125461254612545,5697,166,85,125,5321,0.0368615060558188,0.4295532646048109,fs2,8-month lag
2024-06,pooled,0.9791666666666666,0.5545722713864307,0.7080979284369116,5697,188,4,151,5354,0.0272073020888186,0.4454277286135693,fs2,8-month lag
2024-06,partitioned,0.8518518518518519,0.4070796460176991,0.5508982035928144,5697,138,24,201,5334,0.0394944707740916,0.5929203539823009,fs2,8-month lag
2024-06,partitioned_thresholded,0.5914786967418546,0.696165191740413,0.6395663956639566,5697,236,163,103,5195,0.0466912410040372,0.303834808259587,fs2,8-month lag
2024-10,pooled,0.9058823529411764,0.275,0.4219178082191781,5336,77,8,203,5048,0.0395427286356821,0.725,fs2,8-month lag
2024-10,partitioned,0.5714285714285714,0.0285714285714285,0.0544217687074829,5336,8,6,272,5050,0.0520989505247376,0.9714285714285714,fs2,8-month lag
2024-10,partitioned_thresholded,0.241635687732342,0.4642857142857143,0.3178484107579462,5336,130,408,150,4648,0.1045727136431784,0.5357142857142857,fs2,8-month lag
2021-02,pooled,0.9406392694063926,0.4170040485829959,0.5778401122019635,5425,206,13,288,4918,0.0554838709677419,0.582995951417004,fs3,12-month lag
2021-02,partitioned,0.9306930693069309,0.1902834008097166,0.3159663865546218,5425,94,7,400,4924,0.0750230414746543,0.8097165991902834,fs3,12-month lag
2021-02,partitioned_thresholded,0.3192955589586523,0.8441295546558705,0.4633333333333334,5425,417,889,77,4042,0.1780645161290322,0.1558704453441295,fs3,12-month lag
2021-06,pooled,0.8888888888888888,0.378698224852071,0.5311203319502075,4385,64,8,105,4208,0.0257696693272519,0.621301775147929,fs3,12-month lag
2021-06,partitioned,0.4482758620689655,0.0769230769230769,0.1313131313131313,4385,13,16,156,4200,0.039224629418472,0.9230769230769232,fs3,12-month lag
2021-06,partitioned_thresholded,0.3134328358208955,0.621301775147929,0.4166666666666667,4385,105,230,64,3986,0.0670467502850627,0.378698224852071,fs3,12-month lag
2021-10,pooled,0.9647058823529412,0.5342019543973942,0.6876310272536689,4974,164,6,143,4661,0.0299557700040209,0.4657980456026058,fs3,12-month lag
2021-10,partitioned,0.7459016393442623,0.2964169381107492,0.4242424242424243,4974,91,31,216,4636,0.0496582227583433,0.7035830618892508,fs3,12-month lag
2021-10,partitioned_thresholded,0.6942148760330579,0.5472312703583062,0.6120218579234973,4974,168,74,139,4593,0.0428226779252111,0.4527687296416938,fs3,12-month lag
2022-02,pooled,0.9930555555555556,0.3129102844638949,0.475873544093178,4974,143,1,314,4516,0.0633293124246079,0.687089715536105,fs3,12-month lag
2022-02,partitioned,0.9107142857142856,0.111597374179431,0.1988304093567251,4974,51,5,406,4512,0.0826296743063932,0.888402625820569,fs3,12-month lag
2022-02,partitioned_thresholded,0.6647230320699709,0.4989059080962801,0.57,4974,228,115,229,4402,0.0691596300763972,0.5010940919037199,fs3,12-month lag
2022-06,pooled,0.9788359788359788,0.5153203342618384,0.6751824817518248,4864,185,4,174,4501,0.0365953947368421,0.4846796657381615,fs3,12-month lag
2022-06,partitioned,0.8305084745762712,0.4094707520891364,0.5485074626865671,4864,147,30,212,4475,0.0497532894736842,0.5905292479108635,fs3,12-month lag
2022-06,partitioned_thresholded,0.5088408644400786,0.7214484679665738,0.596774193548387,4864,259,250,100,4255,0.0719572368421052,0.2785515320334262,fs3,12-month lag
