FEWSNET_admin_code,cluster_id,latitude,longitude,is_outlier
362,9,9.697997,45.939205,False
363,9,9.932821,46.131104,False
364,9,10.254938,46.217598,False
365,9,10.02348,43.790657,False
366,9,9.912015,44.36187,False
367,9,10.469514,43.680202,False
368,9,9.770979,44.990532,False
369,9,10.001544,45.423183,False
370,9,10.624595,42.85877,False
371,3,12.304588,31.278816,False
372,3,10.749817,26.948687,False
373,3,11.321706,31.492167,False
374,3,10.833425,27.68493,False
375,3,10.751023,28.049765,False
376,3,10.576259,26.050076,False
377,3,11.349,28.903383,False
378,3,10.524852,27.583975,False
379,3,11.772241,31.189028,False
380,3,11.159071,28.245476,False
381,3,11.709092,28.764086,False
382,3,11.965553,31.499435,False
383,3,11.269478,27.761702,False
384,3,10.519962,26.836016,False
385,3,10.944086,28.979761,False
386,3,14.433732,34.292133,False
387,3,14.051422,34.209103,False
388,3,14.517895,32.425213,False
389,3,14.780854,32.902195,False
390,3,15.090055,32.9407,False
391,3,14.342609,32.97359,False
392,3,14.305408,32.63886,False
393,3,15.414104,35.61416,False
394,3,14.21044,33.37078,False
395,3,15.217416,32.61095,False
396,3,15.656377,35.414143,False
397,3,14.913237,33.53573,False
398,3,14.526,33.907818,False
399,3,14.119674,34.4994,False
400,3,13.734853,32.066303,False
401,3,13.046294,30.636148,False
402,3,13.799749,31.171402,False
403,3,13.309998,32.3854,False
404,3,13.219485,30.327032,False
405,3,13.227101,32.08501,False
406,3,13.650654,30.83504,False
407,3,13.300735,31.42275,False
408,3,18.156845,38.293633,False
409,3,21.704247,36.683304,False
410,3,12.847269,32.744015,False
411,3,19.51574,37.22888,False
412,3,19.012375,37.35893,False
413,3,18.594885,37.782364,False
414,3,15.194382,34.526997,False
415,3,13.996678,32.467434,False
416,3,13.851805,32.881973,False
417,3,15.459473,35.683735,False
418,3,15.423791,36.344208,False
419,3,15.73407,35.930874,False
420,3,15.312026,36.092712,False
421,3,15.314991,36.37709,False
422,3,15.5527935,35.07664,False
423,3,15.474217,35.410423,False
424,3,16.126034,36.109562,False
425,3,16.063995,36.628338,False
426,3,13.922707,33.20851,False
427,3,15.141921,33.72888,False
428,3,15.770645,34.15192,False
429,3,14.795266,34.17052,False
430,3,19.307983,34.81538,False
431,3,18.269827,36.199745,False
432,3,17.041317,34.78731,False
433,3,17.820118,37.97491,False
434,3,19.228056,35.587273,False
435,3,15.2967005,32.742756,False
436,3,15.999064,32.835823,False
437,3,18.109901,34.238213,False
438,3,17.53564,35.883003,False
439,3,18.083685,36.245167,False
440,3,15.372619,32.598316,False
441,3,15.538837,32.54125,False
442,3,19.49893,37.168545,False
443,3,16.20081,35.63026,False
444,3,16.833181,36.569813,False
445,3,16.13245,34.826534,False
446,3,16.656704,35.88399,False
447,3,16.507349,36.610283,False
448,3,19.001225,37.20283,False
449,3,15.718697,33.339375,False
450,3,16.417147,33.723686,False
451,3,18.889488,36.661003,False
452,3,17.808271,37.29148,False
453,3,18.215366,37.826996,False
454,3,14.893491,32.344067,False
455,3,12.588075,30.638655,False
456,3,15.240281,32.51332,False
457,3,16.425806,36.157513,False
458,3,18.407324,37.603607,False
459,3,15.244105,32.43419,False
460,3,12.911918,31.083607,False
461,3,14.735816,32.136658,False
462,3,13.073357,23.992437,False
463,11,13.322438,24.141432,False
464,0,13.283093,24.476358,False
465,11,12.972062,24.321379,False
466,11,13.138674,24.276752,False
467,3,13.819205,24.893873,False
468,3,12.956189,24.961355,False
469,3,13.0631,25.124292,False
470,3,13.350854,24.84039,False
471,3,19.172768,33.40649,False
472,3,17.131203,34.547173,False
473,3,19.16615,32.598736,False
474,3,19.561295,30.428644,False
475,3,16.673492,33.24224,False
476,3,18.176731,33.87732,False
477,3,15.847443,35.57076,False
478,3,18.494162,31.850492,False
479,3,15.921473,35.592133,False
480,3,16.14577,35.427837,False
481,3,16.622921,33.23525,False
482,3,11.784499,26.586777,False
483,3,12.645239,29.306019,False
484,3,11.717952,27.037735,False
485,3,12.039479,28.016441,False
486,3,12.920732,29.171133,False
487,3,11.9417305,26.77957,False
