FEWSNET_admin_code,n,f1_pooled,f1_partitioned,f1_diff,precision_pooled,precision_partitioned,recall_pooled,recall_partitioned,pct_err_all_pooled,pct_err_all_partitioned,pct_err_class1_pooled,pct_err_class1_partitioned
1364,11,0.9523809523809523,1.0,0.04761904761904767,1.0,1.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.09090909090909091,0.0
1365,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1366,11,0.0,1.0,1.0,,1.0,0.0,1.0,0.09090909090909091,0.0,1.0,0.0
1367,11,0.0,0.0,0.0,,,0.0,0.0,0.18181818181818182,0.18181818181818182,1.0,1.0
1368,11,0.0,0.0,0.0,0.0,,0.0,0.0,0.2727272727272727,0.18181818181818182,1.0,1.0
1369,11,0.0,0.0,0.0,0.0,,0.0,0.0,0.2727272727272727,0.18181818181818182,1.0,1.0
1370,11,0.0,0.5,0.5,0.0,1.0,0.0,0.3333333333333333,0.36363636363636365,0.18181818181818182,1.0,0.6666666666666666
1371,11,0.8999999999999999,1.0,0.10000000000000009,1.0,1.0,0.8181818181818182,1.0,0.18181818181818182,0.0,0.18181818181818182,0.0
1372,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1373,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1374,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1375,11,0.8999999999999999,1.0,0.10000000000000009,1.0,1.0,0.8181818181818182,1.0,0.18181818181818182,0.0,0.18181818181818182,0.0
1376,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1377,11,0.0,0.0,0.0,0.0,,0.0,0.0,0.6363636363636364,0.45454545454545453,1.0,1.0
1378,11,0.0,0.0,0.0,,,0.0,0.0,0.09090909090909091,0.09090909090909091,1.0,1.0
1379,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1380,11,0.0,0.0,0.0,,0.0,0.0,0.0,0.2727272727272727,0.36363636363636365,1.0,1.0
1381,11,0.0,0.0,0.0,,,0.0,0.0,0.09090909090909091,0.09090909090909091,1.0,1.0
1382,11,0.9523809523809523,1.0,0.04761904761904767,1.0,1.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.09090909090909091,0.0
