scope,horizon_months,forecasting_horizon,target_month,group,display_group,raw_mean_abs_shap,group_share,matched_feature_count,normalization_denominator,fallback_samples,evaluated_samples
fs1,4,4-month horizon,2022-06,conflict,Conflict,5.3694874254105115e-15,0.318415136048062,38,1.686316640613477e-14,23,489
fs1,4,4-month horizon,2022-06,econ,Econ,3.857060817725431e-15,0.22872696175981774,16,1.686316640613477e-14,23,489
fs1,4,4-month horizon,2022-06,food_prices,Food Prices,3.0975902469622003e-16,0.018368971593824193,6,1.686316640613477e-14,23,489
fs1,4,4-month horizon,2022-06,geographic,Geographic,1.8628962292792717e-15,0.11047131863690532,8,1.686316640613477e-14,23,489
fs1,4,4-month horizon,2022-06,lag,Lag,2.666826648645288e-15,0.15814507100369385,6,1.686316640613477e-14,23,489
fs1,4,4-month horizon,2022-10,weather,Weather,2.0922726757525797e-16,0.09192766990578306,8,2.275998812867721e-15,19,493
fs1,4,4-month horizon,2022-10,agri,Agri,1.624637577242844e-16,0.07138130160954818,24,2.275998812867721e-15,19,493
fs1,4,4-month horizon,2022-10,conflict,Conflict,4.984879768754323e-16,0.21901943623922443,38,2.275998812867721e-15,19,493
fs1,4,4-month horizon,2022-10,econ,Econ,6.90321443858674e-16,0.30330483476345943,16,2.275998812867721e-15,19,493
fs1,4,4-month horizon,2022-10,food_prices,Food Prices,1.4540437532104515e-16,0.0638859627250148,6,2.275998812867721e-15,19,493
fs1,4,4-month horizon,2022-10,geographic,Geographic,1.77710654559878e-16,0.07808029316850368,8,2.275998812867721e-15,19,493
fs1,4,4-month horizon,2022-10,lag,Lag,3.9238333695314907e-16,0.17240050158846637,6,2.275998812867721e-15,19,493
fs1,4,4-month horizon,2023-02,weather,Weather,1.917481909941064e-15,0.144035188598001,8,1.3312593461398613e-14,31,481
fs1,4,4-month horizon,2023-02,agri,Agri,2.384724106603977e-15,0.1791329475746974,24,1.3312593461398613e-14,31,481
fs1,4,4-month horizon,2023-02,conflict,Conflict,2.8943298991520903e-15,0.21741292615481206,38,1.3312593461398613e-14,31,481
fs1,4,4-month horizon,2023-02,econ,Econ,2.5507137388134105e-15,0.19160156480474647,16,1.3312593461398613e-14,31,481
fs1,4,4-month horizon,2023-02,food_prices,Food Prices,6.531517189636819e-16,0.04906269547384362,6,1.3312593461398613e-14,31,481
fs1,4,4-month horizon,2023-02,geographic,Geographic,1.1471614622812785e-15,0.0861711480642449,8,1.3312593461398613e-14,31,481
fs1,4,4-month horizon,2023-02,lag,Lag,1.765030625643111e-15,0.1325835293296546,6,1.3312593461398613e-14,31,481
fs1,4,4-month horizon,2023-06,weather,Weather,4.564317668490206e-15,0.1952442920224989,8,2.3377470456161856e-14,19,493
fs1,4,4-month horizon,2023-06,agri,Agri,4.0952091493499335e-15,0.175177599177353,24,2.3377470456161856e-14,19,493
fs1,4,4-month horizon,2023-06,conflict,Conflict,3.606282802188245e-15,0.15426317440763562,38,2.3377470456161856e-14,19,493
fs1,4,4-month horizon,2023-06,econ,Econ,4.103743002642516e-15,0.17554264522921673,16,2.3377470456161856e-14,19,493
fs1,4,4-month horizon,2023-06,food_prices,Food Prices,1.02179171991244e-15,0.04370839530429672,6,2.3377470456161856e-14,19,493
fs1,4,4-month horizon,2023-06,geographic,Geographic,2.035489677598019e-15,0.08707056999237926,8,2.3377470456161856e-14,19,493
fs1,4,4-month horizon,2023-06,lag,Lag,3.950636435980497e-15,0.1689933238666198,6,2.3377470456161856e-14,19,493
fs1,4,4-month horizon,2023-10,weather,Weather,8.211789748956905e-16,0.19202368310060086,8,4.276446330140831e-15,23,489
