scope,forecasting_horizon,model,bin_id,bin_lower,bin_upper,n,mean_predicted_probability,observed_crisis_rate,calibration_gap,brier_score
fs1,4-month lag,partitioned,9,0.9,1.0,2928,0.9547267759562842,0.8989071038251366,-0.05581967213114758,0.12145954590040041
fs2,8-month lag,pooled,0,0.0,0.1,14519,0.04529788552930643,0.028996487361388525,-0.016301398167917903,0.13394918393928187
fs2,8-month lag,pooled,1,0.1,0.2,13508,0.14242893100384957,0.1036422860527095,-0.038786644951140065,0.13394918393928187
fs2,8-month lag,pooled,2,0.2,0.3,9638,0.24284913882548245,0.22390537455903714,-0.018943764266445312,0.13394918393928187
fs2,8-month lag,pooled,3,0.3,0.4,6956,0.34027314548591137,0.33539390454284074,-0.0048792409430706285,0.13394918393928187
fs2,8-month lag,pooled,4,0.4,0.5,4658,0.442490339201374,0.4716616573636754,0.029171318162301396,0.13394918393928187
fs2,8-month lag,pooled,5,0.5,0.6,3739,0.5443968975661941,0.5948114469109388,0.05041454934474465,0.13394918393928187
fs2,8-month lag,pooled,6,0.6,0.7,3163,0.6433196332595638,0.7202023395510592,0.0768827062914954,0.13394918393928187
fs2,8-month lag,pooled,7,0.7,0.8,2937,0.7450663942798775,0.822267620020429,0.07720122574055144,0.13394918393928187
fs2,8-month lag,pooled,8,0.8,0.9,2206,0.8400543970988215,0.8689936536718041,0.028939256572982686,0.13394918393928187
fs2,8-month lag,pooled,9,0.9,1.0,865,0.9273641618497109,0.9653179190751445,0.03795375722543359,0.13394918393928187
fs2,8-month lag,partitioned,0,0.0,0.1,15150,0.045036963696369635,0.02825082508250825,-0.016786138613861384,0.12768596857965234
fs2,8-month lag,partitioned,1,0.1,0.2,12225,0.14312719836400817,0.08875255623721881,-0.05437464212678936,0.12768596857965234
fs2,8-month lag,partitioned,2,0.2,0.3,8559,0.2408680920668303,0.18308213576352378,-0.05778595630330652,0.12768596857965234
fs2,8-month lag,partitioned,3,0.3,0.4,6159,0.3423136872868972,0.31141419061535963,-0.030899496671537574,0.12768596857965234
fs2,8-month lag,partitioned,4,0.4,0.5,4878,0.44354243542435423,0.4182041820418204,-0.025338253382533815,0.12768596857965234
fs2,8-month lag,partitioned,5,0.5,0.6,3871,0.5441952983725136,0.5339705502454146,-0.010224748127098948,0.12768596857965234
fs2,8-month lag,partitioned,6,0.6,0.7,3430,0.6443177842565598,0.6810495626822157,0.03673177842565589,0.12768596857965234
fs2,8-month lag,partitioned,7,0.7,0.8,2972,0.7424697173620457,0.8085464333781965,0.06607671601615084,0.12768596857965234
fs2,8-month lag,partitioned,8,0.8,0.9,2447,0.8459991826726604,0.8381691867592971,-0.007829995913363308,0.12768596857965234
fs2,8-month lag,partitioned,9,0.9,1.0,2498,0.950888710968775,0.9139311449159327,-0.03695756605284228,0.12768596857965234
fs3,12-month lag,pooled,0,0.0,0.1,11359,0.04756932828594067,0.03028435601725504,-0.01728497226868563,0.1450825531846468
fs3,12-month lag,pooled,1,0.1,0.2,12134,0.14645459040712047,0.09947255645294215,-0.046982033954178326,0.1450825531846468
fs3,12-month lag,pooled,2,0.2,0.3,12029,0.24311912877213404,0.18679857012220466,-0.05632055864992938,0.1450825531846468
fs3,12-month lag,pooled,3,0.3,0.4,8646,0.34198588942863745,0.3329863520703215,-0.008999537358315934,0.1450825531846468
fs3,12-month lag,pooled,4,0.4,0.5,5425,0.4414470046082949,0.47391705069124423,0.032470046082949344,0.1450825531846468
fs3,12-month lag,pooled,5,0.5,0.6,4002,0.543248375812094,0.5909545227386307,0.04770614692653674,0.1450825531846468
fs3,12-month lag,pooled,6,0.6,0.7,3495,0.6429699570815451,0.688412017167382,0.045442060085836844,0.1450825531846468
fs3,12-month lag,pooled,7,0.7,0.8,2647,0.7444729882886286,0.7619947109935776,0.017521722704949005,0.1450825531846468
fs3,12-month lag,pooled,8,0.8,0.9,2042,0.837722820763957,0.8540646425073457,0.016341821743388718,0.1450825531846468
fs3,12-month lag,pooled,9,0.9,1.0,410,0.9236585365853658,0.9707317073170731,0.04707317073170736,0.1450825531846468
fs3,12-month lag,partitioned,0,0.0,0.1,12409,0.0476323636070594,0.027318881457007012,-0.020313482150052388,0.14020730675842993
fs3,12-month lag,partitioned,1,0.1,0.2,12678,0.1446142924751538,0.08920965451964032,-0.055404637955513494,0.14020730675842993
fs3,12-month lag,partitioned,2,0.2,0.3,9497,0.2419932610297989,0.1802674528798568,-0.06172580814994211,0.14020730675842993
fs3,12-month lag,partitioned,3,0.3,0.4,7187,0.3424572144149158,0.3219702240155837,-0.020486990399332106,0.14020730675842993
fs3,12-month lag,partitioned,4,0.4,0.5,5407,0.44324209358239314,0.45330127612354354,0.010059182541150402,0.14020730675842993
fs3,12-month lag,partitioned,5,0.5,0.6,4599,0.543165905631659,0.5525114155251142,0.009345509893455173,0.14020730675842993
fs3,12-month lag,partitioned,6,0.6,0.7,3588,0.6435395763656633,0.6025641025641025,-0.04097547380156075,0.14020730675842993
fs3,12-month lag,partitioned,7,0.7,0.8,2854,0.742344078486335,0.7231955150665732,-0.019148563419761788,0.14020730675842993
fs3,12-month lag,partitioned,8,0.8,0.9,2306,0.8443321769297484,0.8252385082393755,-0.019093668690372878,0.14020730675842993
fs3,12-month lag,partitioned,9,0.9,1.0,1664,0.9364483173076923,0.9381009615384616,0.0016526442307692735,0.14020730675842993
