FEWSNET_admin_code,target_month,target_label,partition_id
92,2019-06,0,0
92,2019-10,0,0
93,2017-06,0,0
93,2017-10,0,0
93,2018-02,0,0
93,2018-06,1,0
93,2018-10,0,0
93,2019-02,0,0
93,2019-06,0,0
93,2019-10,0,0
94,2017-06,0,0
94,2017-10,0,0
94,2018-02,0,0
94,2018-06,0,0
94,2018-10,0,0
94,2019-02,0,0
94,2019-06,0,0
94,2019-10,0,0
95,2017-06,0,0
95,2017-10,0,0
95,2018-02,0,0
95,2018-06,0,0
95,2018-10,0,0
95,2019-02,0,0
95,2019-06,0,0
95,2019-10,0,0
96,2017-06,1,0
96,2017-10,0,0
96,2018-02,0,0
96,2018-06,1,0
96,2018-10,0,0
96,2019-02,0,0
96,2019-06,0,0
96,2019-10,0,0
97,2017-06,1,0
97,2017-10,0,0
97,2018-02,1,0
97,2018-06,0,0
97,2018-10,0,0
97,2019-02,0,0
97,2019-06,0,0
97,2019-10,0,0
98,2017-06,0,0
98,2017-10,0,0
98,2018-02,0,0
98,2018-06,0,0
98,2018-10,0,0
98,2019-02,0,0
98,2019-06,0,0
98,2019-10,0,0
99,2017-06,0,0
99,2017-10,0,0
99,2018-02,0,0
99,2018-06,0,0
99,2018-10,0,0
99,2019-02,0,0
99,2019-06,0,0
99,2019-10,0,0
100,2017-06,0,0
100,2017-10,0,0
100,2018-02,0,0
100,2018-06,1,0
100,2018-10,0,0
100,2019-02,0,0
100,2019-06,0,0
100,2019-10,0,0
101,2017-06,0,0
101,2017-10,0,0
101,2018-02,0,0
101,2018-06,1,0
101,2018-10,0,0
101,2019-02,0,0
101,2019-06,0,0
101,2019-10,0,0
102,2017-06,0,0
102,2017-10,0,0
102,2018-02,0,0
102,2018-06,0,0
102,2018-10,0,0
102,2019-02,0,0
102,2019-06,0,0
102,2019-10,0,0
103,2017-06,0,0
103,2017-10,0,0
103,2018-02,0,0
103,2018-06,0,0
103,2018-10,0,0
103,2019-02,0,0
103,2019-06,0,0
103,2019-10,0,0
104,2017-06,1,0
104,2017-10,0,0
104,2018-02,0,0
104,2018-06,1,0
104,2018-10,0,0
104,2019-02,0,0
104,2019-06,0,0
104,2019-10,0,0
105,2017-06,1,0
105,2017-10,0,0
105,2018-02,0,0
105,2018-06,1,0
105,2018-10,0,0
105,2019-02,0,0
105,2019-06,0,0
105,2019-10,0,0
106,2017-06,0,0
106,2017-10,0,0
106,2018-02,0,0
106,2018-06,0,0
106,2018-10,0,0
106,2019-02,0,0
106,2019-06,0,0
106,2019-10,0,0
107,2017-06,0,0
107,2017-10,0,0
107,2018-02,0,0
107,2018-06,0,0
107,2018-10,0,0
107,2019-02,0,0
107,2019-06,0,0
107,2019-10,0,0
108,2017-06,1,0
108,2017-10,0,0
108,2018-02,0,0
108,2018-06,1,0
108,2018-10,0,0
108,2019-02,0,0
108,2019-06,0,0
108,2019-10,0,0
109,2017-06,0,0
109,2017-10,0,0
109,2018-02,0,0
109,2018-06,1,0
109,2018-10,0,0
109,2019-02,0,0
109,2019-06,0,0
109,2019-10,0,0
110,2017-06,0,0
110,2017-10,0,0
110,2018-02,0,0
110,2018-06,1,0
110,2018-10,0,0
110,2019-02,0,0
110,2019-06,0,0
110,2019-10,0,0
111,2017-06,0,0
111,2017-10,0,0
111,2018-02,0,0
111,2018-06,1,0
111,2018-10,0,0
111,2019-02,0,0
111,2019-06,0,0
111,2019-10,0,0
112,2017-06,0,0
112,2017-10,0,0
112,2018-02,0,0
112,2018-06,0,0
112,2018-10,0,0
112,2019-02,0,0
112,2019-06,0,0
112,2019-10,0,0
113,2017-06,0,0
113,2017-10,0,0
113,2018-02,0,0
113,2018-06,0,0
113,2018-10,0,0
113,2019-02,0,0
113,2019-06,0,0
113,2019-10,0,0
114,2017-06,0,0
114,2017-10,0,0
114,2018-02,0,0
