period,horizon_months,cohort,dimension,target_year_label,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,12,E_all,target_year,2024,pooled_rf,4295,2960,45,1555,0.3620488940628638,1632,957,675,598,2065,0.6005647944775651,0.5863970588235294,0.6154340836012862,,,
main,12,E_all,target_year,2024,xgb,4295,2960,45,1555,0.3620488940628638,1661,988,673,567,2067,0.6144278606965174,0.5948223961468995,0.6353697749196141,,,
main,12,E_all,target_year,2025,partitioned_rf,9792,5740,50,3864,0.3946078431372549,5052,3022,2030,842,3898,0.6778824585015703,0.598178939034046,0.7820910973084886,,,
main,12,E_all,target_year,2025,pooled_rf,9792,5740,50,3864,0.3946078431372549,5074,2991,2083,873,3845,0.6692772432311479,0.589475758770201,0.7740683229813664,,,
main,12,E_all,target_year,2025,xgb,9792,5740,50,3864,0.3946078431372549,5492,3223,2269,641,3659,0.6889696451474989,0.5868536052439912,0.8341097308488613,,,
main,12,E_persist,target_year,2024,partitioned_rf,3224,2256,40,969,0.30055831265508687,820,537,283,432,1972,0.6003353828954723,0.6548780487804878,0.5541795665634675,,,
main,12,E_persist,target_year,2024,pooled_rf,3224,2256,40,969,0.30055831265508687,841,531,310,438,1945,0.5867403314917127,0.6313912009512486,0.5479876160990712,,,
main,12,E_persist,target_year,2024,xgb,3224,2256,40,969,0.30055831265508687,874,557,317,412,1938,0.6044492674986435,0.6372997711670481,0.5748194014447885,,,
main,12,E_persist,target_year,2024,persistence,3224,2256,40,969,0.30055831265508687,815,574,241,395,2014,0.6434977578475336,0.7042944785276074,0.5923632610939112,,,
main,12,E_persist,target_year,2025,partitioned_rf,9180,5429,50,3611,0.3933551198257081,4640,2805,1835,806,3734,0.6799175857471822,0.6045258620689655,0.7767931320963722,,,
main,12,E_persist,target_year,2025,pooled_rf,9180,5429,50,3611,0.3933551198257081,4649,2782,1867,829,3702,0.6736077481840194,0.598408259840826,0.7704237053447799,,,
main,12,E_persist,target_year,2025,xgb,9180,5429,50,3611,0.3933551198257081,5013,2995,2018,616,3551,0.6945732838589982,0.5974466387392778,0.8294101356964829,,,
main,12,E_persist,target_year,2025,persistence,9180,5429,50,3611,0.3933551198257081,4334,2714,1620,897,3949,0.6831969792322216,0.6262113520996769,0.7515923566878981,,,
