admin_code,branch_id,partition_code,assignment_source,donor_admin_code,donor_distance_km,nearest_eligible_admin_code,nearest_eligible_distance_km,model_route,fallback_reason,was_placeholder_root
1840,1,8,learned,-1,,-1,,partition:1,,False
1841,1,8,nearest_donor,1833,2.0654831010636117,1833,2.0654831010636117,partition:1,,False
1842,1,8,nearest_donor,1840,1.0903386376112405,1840,1.0903386376112405,partition:1,,False
1843,1,8,learned,-1,,-1,,partition:1,,False
1844,1,8,nearest_donor,1767,77.44714233007831,1767,77.44714233007831,partition:1,,False
1845,1,8,nearest_donor,1843,12.076396613932916,1843,12.076396613932916,partition:1,,False
1846,1,8,learned,-1,,-1,,partition:1,,False
1847,1,8,learned,-1,,-1,,partition:1,,False
1848,1,8,nearest_donor,1847,0.0038584312796584486,1847,0.0038584312796584486,partition:1,,False
1849,1,8,nearest_donor,1847,0.5372578051007791,1847,0.5372578051007791,partition:1,,False
1850,1,8,nearest_donor,1851,0.34037375715265483,1851,0.34037375715265483,partition:1,,False
1851,1,8,learned,-1,,-1,,partition:1,,False
1852,00000,0,learned,-1,,-1,,partition:00000,,False
1853,00000,0,nearest_donor,1852,0.3931763938798744,1852,0.3931763938798744,partition:00000,,False
1854,1,8,nearest_donor,1904,81.22935750866574,1904,81.22935750866574,partition:1,,False
1855,1,8,nearest_donor,1856,0.4672855581160746,1856,0.4672855581160746,partition:1,,False
1856,1,8,learned,-1,,-1,,partition:1,,False
1857,1,8,learned,-1,,-1,,partition:1,,False
1858,1,8,nearest_donor,1857,0.23339279181620778,1857,0.23339279181620778,partition:1,,False
1859,1,8,nearest_donor,1846,11.935010053603541,1846,11.935010053603541,partition:1,,False
1860,1,8,learned,-1,,-1,,partition:1,,False
1861,1,8,nearest_donor,1860,4.883359317606069e-09,1860,4.883359317606069e-09,partition:1,,False
1862,1,8,nearest_donor,1860,0.8161294285135988,1860,0.8161294285135988,partition:1,,False
1863,1,8,learned,-1,,-1,,partition:1,,False
1864,1,8,nearest_donor,1863,0.0030240855810676876,1863,0.0030240855810676876,partition:1,,False
1865,1,8,learned,-1,,-1,,partition:1,,False
1866,1,8,nearest_donor,1865,0.2770259946208861,1865,0.2770259946208861,partition:1,,False
1867,1,8,nearest_donor,1843,42.372156428710426,1843,42.372156428710426,partition:1,,False
1868,1,8,nearest_donor,1843,42.37413811814859,1843,42.37413811814859,partition:1,,False
1869,1,8,nearest_donor,1877,8.841233983559988,1877,8.841233983559988,partition:1,,False
1870,1,8,learned,-1,,-1,,partition:1,,False
1871,1,8,learned,-1,,-1,,partition:1,,False
1872,1,8,learned,-1,,-1,,partition:1,,False
1873,1,8,nearest_donor,1875,0.00800705295490565,1875,0.00800705295490565,partition:1,,False
1874,1,8,nearest_donor,1872,25.403313814145026,1872,25.403313814145026,partition:1,,False
1875,1,8,learned,-1,,-1,,partition:1,,False
1876,1,8,learned,-1,,-1,,partition:1,,False
1877,1,8,learned,-1,,-1,,partition:1,,False
1878,1,8,learned,-1,,-1,,partition:1,,False
1879,1,8,nearest_donor,1843,29.35744087391475,1843,29.35744087391475,partition:1,,False
1880,1,8,nearest_donor,1904,88.91879284418707,1904,88.91879284418707,partition:1,,False
1881,1,8,nearest_donor,1904,88.92149422646946,1904,88.92149422646946,partition:1,,False
1882,1,8,nearest_donor,1904,88.92149445454577,1904,88.92149445454577,partition:1,,False
1883,1,8,nearest_donor,1884,11.916024051236908,1884,11.916024051236908,partition:1,,False
1884,1,8,learned,-1,,-1,,partition:1,,False
1885,1,8,nearest_donor,1886,0.2331310995320311,1886,0.2331310995320311,partition:1,,False
1886,1,8,learned,-1,,-1,,partition:1,,False
1887,00001,1,learned,-1,,-1,,partition:00001,,False
1888,1,8,learned,-1,,-1,,partition:1,,False
1889,1,8,nearest_donor,1888,0.33413645056395036,1888,0.33413645056395036,partition:1,,False
1890,1,8,nearest_donor,1878,8.058169017041713,1878,8.058169017041713,partition:1,,False
1891,1,8,nearest_donor,1878,8.227453267769718,1878,8.227453267769718,partition:1,,False
1892,1,8,nearest_donor,1898,3.509654708296676,1898,3.509654708296676,partition:1,,False
1893,1,8,nearest_donor,1802,67.57730090765978,1802,67.57730090765978,partition:1,,False
1894,1,8,nearest_donor,1902,3.400701312418168,1902,3.400701312418168,partition:1,,False
1895,1,8,learned,-1,,-1,,partition:1,,False
1896,1,8,learned,-1,,-1,,partition:1,,False
1897,1,8,nearest_donor,1843,39.26873096701761,1843,39.26873096701761,partition:1,,False
1898,1,8,learned,-1,,-1,,partition:1,,False
1899,1,8,nearest_donor,1898,0.0017159471716385113,1898,0.0017159471716385113,partition:1,,False
1900,1,8,nearest_donor,1878,11.253292372294592,1878,11.253292372294592,partition:1,,False
1901,1,8,nearest_donor,1878,11.25531519729504,1878,11.25531519729504,partition:1,,False
1902,1,8,learned,-1,,-1,,partition:1,,False
1903,1,8,nearest_donor,1902,0.30690191574665093,1902,0.30690191574665093,partition:1,,False
1904,1,8,learned,-1,,-1,,partition:1,,False
1905,1,8,nearest_donor,1906,0.6606735151486848,1906,0.6606735151486848,partition:1,,False
1906,1,8,learned,-1,,-1,,partition:1,,False
1907,1,8,learned,-1,,-1,,partition:1,,False
1908,1,8,learned,-1,,-1,,partition:1,,False
1909,1,8,nearest_donor,1907,0.004149102733825405,1907,0.004149102733825405,partition:1,,False
1910,1,8,nearest_donor,1908,0.005694401497283753,1908,0.005694401497283753,partition:1,,False
1911,1,8,learned,-1,,-1,,partition:1,,False
1912,1,8,nearest_donor,1935,47.03683038996834,1935,47.03683038996834,partition:1,,False
1913,1,8,nearest_donor,1911,0.1605303202615427,1911,0.1605303202615427,partition:1,,False
1915,1,8,learned,-1,,-1,,partition:1,,False
1916,1,8,nearest_donor,1843,51.702614820247106,1843,51.702614820247106,partition:1,,False
1917,1,8,learned,-1,,-1,,partition:1,,False
1918,1,8,nearest_donor,1917,2.2613736978636405,1917,2.2613736978636405,partition:1,,False
1919,1,8,learned,-1,,-1,,partition:1,,False
1920,1,8,nearest_donor,1904,20.72149851468798,1904,20.72149851468798,partition:1,,False
1921,00000,0,nearest_donor,2042,81.63019470686794,2042,81.63019470686794,partition:00000,,False
1922,1,8,nearest_donor,1923,0.6526690602255852,1923,0.6526690602255852,partition:1,,False
1923,1,8,learned,-1,,-1,,partition:1,,False
1924,1,8,learned,-1,,-1,,partition:1,,False
1925,1,8,nearest_donor,1924,0.0058081009243843365,1924,0.0058081009243843365,partition:1,,False
1926,1,8,learned,-1,,-1,,partition:1,,False
1927,1,8,nearest_donor,1926,0.0031070792381579383,1926,0.0031070792381579383,partition:1,,False
1928,00000,0,nearest_donor,2042,76.08137355167335,2042,76.08137355167335,partition:00000,,False
1929,1,8,learned,-1,,-1,,partition:1,,False
1930,1,8,nearest_donor,1929,0.6828493204646069,1929,0.6828493204646069,partition:1,,False
1931,1,8,nearest_donor,1932,0.0036220031207755657,1932,0.0036220031207755657,partition:1,,False
1932,1,8,learned,-1,,-1,,partition:1,,False
1933,1,8,learned,-1,,-1,,partition:1,,False
1934,1,8,nearest_donor,1933,0.005855151006654095,1933,0.005855151006654095,partition:1,,False
1935,1,8,learned,-1,,-1,,partition:1,,False
1936,1,8,nearest_donor,1937,0.7140169646256881,1937,0.7140169646256881,partition:1,,False
1937,1,8,learned,-1,,-1,,partition:1,,False
1938,1,8,nearest_donor,1833,88.67718694195642,1833,88.67718694195642,partition:1,,False
1939,1,8,nearest_donor,1940,1.0314351882152324,1940,1.0314351882152324,partition:1,,False
1940,1,8,learned,-1,,-1,,partition:1,,False
1941,1,8,nearest_donor,1948,4.520466449398832,1948,4.520466449398832,partition:1,,False
1942,1,8,learned,-1,,-1,,partition:1,,False
1943,1,8,nearest_donor,1942,0.005713211801235646,1942,0.005713211801235646,partition:1,,False
1944,00011,3,nearest_donor,1947,0.34042949018602725,1947,0.34042949018602725,partition:00011,,False
1945,1,8,nearest_donor,1946,0.006771305277868727,1946,0.006771305277868727,partition:1,,False
1946,1,8,learned,-1,,-1,,partition:1,,False
1947,00011,3,learned,-1,,-1,,partition:00011,,False
1948,1,8,learned,-1,,-1,,partition:1,,False
1949,1,8,learned,-1,,-1,,partition:1,,False
1950,1,8,nearest_donor,1949,0.5322127674327044,1949,0.5322127674327044,partition:1,,False
1951,1,8,nearest_donor,1954,2.2125600332681454,1954,2.2125600332681454,partition:1,,False
1952,1,8,learned,-1,,-1,,partition:1,,False
1953,1,8,nearest_donor,1952,0.3374221712119106,1952,0.3374221712119106,partition:1,,False
1954,1,8,learned,-1,,-1,,partition:1,,False
1955,1,8,learned,-1,,-1,,partition:1,,False
1956,1,8,learned,-1,,-1,,partition:1,,False
1957,1,8,nearest_donor,1958,0.1328188757589266,1958,0.1328188757589266,partition:1,,False
1958,1,8,learned,-1,,-1,,partition:1,,False
1959,1,8,learned,-1,,-1,,partition:1,,False
1960,1,8,nearest_donor,1959,0.5085939502514233,1959,0.5085939502514233,partition:1,,False
1961,1,8,nearest_donor,1963,1.4843635824879648,1963,1.4843635824879648,partition:1,,False
1962,1,8,nearest_donor,1935,23.522834809507064,1935,23.522834809507064,partition:1,,False
1963,1,8,learned,-1,,-1,,partition:1,,False
1964,1,8,learned,-1,,-1,,partition:1,,False
1965,1,8,nearest_donor,1964,0.20617224669365103,1964,0.20617224669365103,partition:1,,False
1966,1,8,learned,-1,,-1,,partition:1,,False
1967,1,8,learned,-1,,-1,,partition:1,,False
1968,1,8,learned,-1,,-1,,partition:1,,False
1969,1,8,nearest_donor,1966,2.0201686669506005,1966,2.0201686669506005,partition:1,,False
1971,1,8,nearest_donor,1972,0.14455657993376295,1972,0.14455657993376295,partition:1,,False
1972,1,8,learned,-1,,-1,,partition:1,,False
1973,1,8,learned,-1,,-1,,partition:1,,False
1974,1,8,nearest_donor,1973,0.002335304409317187,1973,0.002335304409317187,partition:1,,False
1975,1,8,learned,-1,,-1,,partition:1,,False
1976,1,8,nearest_donor,1975,0.003046379442954112,1975,0.003046379442954112,partition:1,,False
1977,1,8,nearest_donor,1978,0.00034775773025168293,1978,0.00034775773025168293,partition:1,,False
1978,1,8,learned,-1,,-1,,partition:1,,False
1979,00000,0,nearest_donor,1980,0.3428260929910639,1980,0.3428260929910639,partition:00000,,False
1980,00000,0,learned,-1,,-1,,partition:00000,,False
1981,1,8,nearest_donor,1983,0.22610805792674254,1983,0.22610805792674254,partition:1,,False
1982,1,8,learned,-1,,-1,,partition:1,,False
1983,1,8,learned,-1,,-1,,partition:1,,False
1984,1,8,nearest_donor,1983,7.849646676526529e-07,1983,7.849646676526529e-07,partition:1,,False
1985,1,8,learned,-1,,-1,,partition:1,,False
1986,1,8,nearest_donor,1987,0.19404952527416888,1987,0.19404952527416888,partition:1,,False
1987,1,8,learned,-1,,-1,,partition:1,,False
1988,1,8,nearest_donor,1990,8.955747821135125,1990,8.955747821135125,partition:1,,False
1989,1,8,learned,-1,,-1,,partition:1,,False
1990,1,8,learned,-1,,-1,,partition:1,,False
1991,1,8,nearest_donor,2002,16.77464679176137,2002,16.77464679176137,partition:1,,False
1992,1,8,nearest_donor,2002,16.77536922137746,2002,16.77536922137746,partition:1,,False
1993,1,8,nearest_donor,1999,5.217497450797321,1999,5.217497450797321,partition:1,,False
1994,1,8,learned,-1,,-1,,partition:1,,False
1995,1,8,nearest_donor,1994,0.0037209355129318045,1994,0.0037209355129318045,partition:1,,False
1996,1,8,nearest_donor,1998,0.345926460144624,1998,0.345926460144624,partition:1,,False
1997,1,8,nearest_donor,1994,0.8633599071977396,1994,0.8633599071977396,partition:1,,False
1998,1,8,learned,-1,,-1,,partition:1,,False
1999,1,8,learned,-1,,-1,,partition:1,,False
2000,1,8,nearest_donor,1999,0.005995365217316694,1999,0.005995365217316694,partition:1,,False
2001,1,8,learned,-1,,-1,,partition:1,,False
2002,1,8,learned,-1,,-1,,partition:1,,False
2003,1,8,nearest_donor,2002,0.005965844248005478,2002,0.005965844248005478,partition:1,,False
