plan_a,year_a,month_a,forecasting_horizon_months_a,source_scope_a,plan_b,year_b,month_b,forecasting_horizon_months_b,source_scope_b,comparison_group,n_common_valid,adjusted_rand_index,normalized_mutual_information
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5358,0.007719526275436308,0.13675545413229684
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5358,0.19349626649862361,0.2541277784610527
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2020_02_fs2,2020,2,8,fs2,across_years,5358,-0.030358048547119074,0.07879088863220686
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5358,-0.0002339913488593375,0.006421375963716377
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5358,-0.03384335452350445,0.07640571727458319
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5358,-0.024155609905545553,0.13970145585880214
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5279,-0.0348941476986553,0.06961481001573327
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5279,-0.042124444810034786,0.10113457564907243
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5279,0.025036968531000278,0.16168789248611193
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2018_06_fs1,2018,6,4,fs1,mixed,5159,0.03752966660875295,0.09015905964629488
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2018_06_fs2,2018,6,8,fs2,mixed,5159,0.061007811278836775,0.10960094171635588
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2018_06_fs3,2018,6,12,fs3,across_months,5159,0.005586648724142934,0.007515862823639628
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2018_10_fs1,2018,10,4,fs1,mixed,5159,0.004686207776221401,0.003039679794237403
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2018_10_fs2,2018,10,8,fs2,mixed,5159,0.08026435070400698,0.15167824856774
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2018_10_fs3,2018,10,12,fs3,across_months,5159,0.03835524863296096,0.0909634093455276
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2019_02_fs2,2019,2,8,fs2,mixed,5159,0.08151122330318175,0.20543377581346842
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2019_02_fs3,2019,2,12,fs3,across_years,5159,0.20043790177064505,0.29442329785075594
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2019_06_fs2,2019,6,8,fs2,mixed,5159,0.17334659695248922,0.22238622873591588
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2019_06_fs3,2019,6,12,fs3,mixed,5159,0.06309181834056718,0.1554673488537201
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5159,0.06741659470680363,0.1674692545536725
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5159,0.18755840291261186,0.27498348255041016
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5159,0.08366676817597904,0.12775247211332855
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2020_02_fs3,2020,2,12,fs3,across_years,5159,0.0004909968507624658,0.004566916385905631
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5159,0.05403902374261955,0.12062996214441749
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5159,0.1710438058278413,0.22747752005497904
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5080,0.06677835845365498,0.10811141474082704
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5080,0.09916283293358286,0.15757421041494118
GeoRF_2018_02_fs3,2018,2,12,fs3,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5080,0.18123423350430615,0.2039212139429742
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2018_06_fs2,2018,6,8,fs2,across_horizons,5360,0.5134032937404389,0.2978666408381003
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2018_06_fs3,2018,6,12,fs3,across_horizons,5358,0.08629070631115672,0.03140632332297172
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2018_10_fs1,2018,10,4,fs1,across_months,5363,0.030649033846699293,0.009915379230721156
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2018_10_fs2,2018,10,8,fs2,mixed,5363,0.07038713746322312,0.06687883156307046
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2018_10_fs3,2018,10,12,fs3,mixed,5360,0.6150992604370125,0.3670028584865939
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2019_02_fs2,2019,2,8,fs2,mixed,5363,0.10144211157071538,0.12822691529441302
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2019_02_fs3,2019,2,12,fs3,mixed,5363,0.08376012097512478,0.09628354544282913
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2019_06_fs2,2019,6,8,fs2,mixed,5363,0.3276206938638426,0.22312708752555238
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2019_06_fs3,2019,6,12,fs3,mixed,5363,-0.056509881509487145,0.029733583031491016
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5363,-0.045103438887923245,0.02641380563358803
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5363,0.030275476544589515,0.06349251870230557
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5363,-0.005703199590423008,0.011719513059023084
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5363,0.10751034558966761,0.028216426727958516
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2020_06_fs1,2020,6,4,fs1,across_years,0,,
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5363,0.46416632538023844,0.22587244124901146
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5363,0.2024573375576232,0.130303601632805
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5284,-0.001982330882586178,0.009426624030797645
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5284,0.07974138641216486,0.03955730209701765
GeoRF_2018_06_fs1,2018,6,4,fs1,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5284,0.21339974895594305,0.1234391395372266
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2018_06_fs3,2018,6,12,fs3,across_horizons,5358,0.0837827075152836,0.027952332687782147
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2018_10_fs1,2018,10,4,fs1,mixed,5360,0.04018626916661635,0.00823489121407753
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2018_10_fs2,2018,10,8,fs2,across_months,5360,0.09578170712973993,0.04266201206735441
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2018_10_fs3,2018,10,12,fs3,mixed,5360,0.6392678136214747,0.39486769788123177
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2019_02_fs2,2019,2,8,fs2,mixed,5360,0.0994951723158774,0.12353873850881263
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2019_02_fs3,2019,2,12,fs3,mixed,5360,0.08313691133839701,0.07679870592796645
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2019_06_fs2,2019,6,8,fs2,across_years,5360,0.39253247722590384,0.24646940173879003
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2019_06_fs3,2019,6,12,fs3,mixed,5360,-0.069554869564725,0.02682359748871293
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5360,-0.0530723521579398,0.032186854561390046
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
