period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,6,E_all,assignment_provenance,nearest_donor,xgb,444,97,6,9,0.02027027027027027,2,2,0,7,435,0.36363636363636365,1.0,0.2222222222222222,,,
main,6,E_all,assignment_provenance,unresolved,partitioned_rf,68,14,3,20,0.29411764705882354,14,14,0,6,48,0.8235294117647058,1.0,0.7,,,
main,6,E_all,assignment_provenance,unresolved,pooled_rf,68,14,3,20,0.29411764705882354,14,14,0,6,48,0.8235294117647058,1.0,0.7,,,
main,6,E_all,assignment_provenance,unresolved,xgb,68,14,3,20,0.29411764705882354,14,14,0,6,48,0.8235294117647058,1.0,0.7,,,
main,6,E_persist,assignment_provenance,learned,partitioned_rf,5290,1193,19,910,0.1720226843100189,565,410,155,500,4225,0.5559322033898305,0.7256637168141593,0.45054945054945056,,,
main,6,E_persist,assignment_provenance,learned,pooled_rf,5290,1193,19,910,0.1720226843100189,636,447,189,463,4191,0.5782664941785253,0.7028301886792453,0.4912087912087912,,,
main,6,E_persist,assignment_provenance,learned,xgb,5290,1193,19,910,0.1720226843100189,748,505,243,405,4137,0.609167671893848,0.6751336898395722,0.554945054945055,,,
main,6,E_persist,assignment_provenance,learned,persistence,5290,1193,19,910,0.1720226843100189,897,553,344,357,4036,0.6120641947980078,0.6164994425863991,0.6076923076923076,,,
main,6,E_persist,assignment_provenance,nearest_donor,partitioned_rf,442,96,5,7,0.01583710407239819,0,0,0,7,435,0.0,,0.0,,no_predicted_positives,
main,6,E_persist,assignment_provenance,nearest_donor,pooled_rf,442,96,5,7,0.01583710407239819,1,1,0,6,435,0.25,1.0,0.14285714285714285,,,
main,6,E_persist,assignment_provenance,nearest_donor,xgb,442,96,5,7,0.01583710407239819,2,2,0,5,435,0.4444444444444444,1.0,0.2857142857142857,,,
main,6,E_persist,assignment_provenance,nearest_donor,persistence,442,96,5,7,0.01583710407239819,2,2,0,5,435,0.4444444444444444,1.0,0.2857142857142857,,,
main,6,E_persist,assignment_provenance,unresolved,partitioned_rf,68,14,3,20,0.29411764705882354,14,14,0,6,48,0.8235294117647058,1.0,0.7,,,
main,6,E_persist,assignment_provenance,unresolved,pooled_rf,68,14,3,20,0.29411764705882354,14,14,0,6,48,0.8235294117647058,1.0,0.7,,,
main,6,E_persist,assignment_provenance,unresolved,xgb,68,14,3,20,0.29411764705882354,14,14,0,6,48,0.8235294117647058,1.0,0.7,,,
main,6,E_persist,assignment_provenance,unresolved,persistence,68,14,3,20,0.29411764705882354,14,14,0,6,48,0.8235294117647058,1.0,0.7,,,
main,12,E_all,assignment_provenance,learned,partitioned_rf,4199,1193,19,769,0.18313884258156704,466,326,140,443,3290,0.5279352226720648,0.6995708154506438,0.42392717815344605,,,
main,12,E_all,assignment_provenance,learned,pooled_rf,4199,1193,19,769,0.18313884258156704,495,349,146,420,3284,0.5522151898734177,0.705050505050505,0.4538361508452536,,,
main,12,E_all,assignment_provenance,learned,xgb,4199,1193,19,769,0.18313884258156704,551,377,174,392,3256,0.5712121212121212,0.6842105263157895,0.49024707412223667,,,
main,12,E_all,assignment_provenance,nearest_donor,partitioned_rf,357,97,6,8,0.022408963585434174,0,0,0,8,349,0.0,,0.0,,no_predicted_positives,
main,12,E_all,assignment_provenance,nearest_donor,pooled_rf,357,97,6,8,0.022408963585434174,0,0,0,8,349,0.0,,0.0,,no_predicted_positives,
main,12,E_all,assignment_provenance,nearest_donor,xgb,357,97,6,8,0.022408963585434174,0,0,0,8,349,0.0,,0.0,,no_predicted_positives,
main,12,E_all,assignment_provenance,unresolved,partitioned_rf,54,14,3,17,0.3148148148148148,11,11,0,6,37,0.7857142857142857,1.0,0.6470588235294118,,,
main,12,E_all,assignment_provenance,unresolved,pooled_rf,54,14,3,17,0.3148148148148148,11,11,0,6,37,0.7857142857142857,1.0,0.6470588235294118,,,
main,12,E_all,assignment_provenance,unresolved,xgb,54,14,3,17,0.3148148148148148,11,11,0,6,37,0.7857142857142857,1.0,0.6470588235294118,,,
main,12,E_persist,assignment_provenance,learned,partitioned_rf,4199,1193,19,769,0.18313884258156704,466,326,140,443,3290,0.5279352226720648,0.6995708154506438,0.42392717815344605,,,
main,12,E_persist,assignment_provenance,learned,pooled_rf,4199,1193,19,769,0.18313884258156704,495,349,146,420,3284,0.5522151898734177,0.705050505050505,0.4538361508452536,,,
main,12,E_persist,assignment_provenance,learned,xgb,4199,1193,19,769,0.18313884258156704,551,377,174,392,3256,0.5712121212121212,0.6842105263157895,0.49024707412223667,,,
main,12,E_persist,assignment_provenance,learned,persistence,4199,1193,19,769,0.18313884258156704,690,446,244,323,3186,0.6113776559287183,0.6463768115942029,0.5799739921976593,,,
main,12,E_persist,assignment_provenance,nearest_donor,partitioned_rf,355,96,5,6,0.016901408450704224,0,0,0,6,349,0.0,,0.0,,no_predicted_positives,
main,12,E_persist,assignment_provenance,nearest_donor,pooled_rf,355,96,5,6,0.016901408450704224,0,0,0,6,349,0.0,,0.0,,no_predicted_positives,
main,12,E_persist,assignment_provenance,nearest_donor,xgb,355,96,5,6,0.016901408450704224,0,0,0,6,349,0.0,,0.0,,no_predicted_positives,
main,12,E_persist,assignment_provenance,nearest_donor,persistence,355,96,5,6,0.016901408450704224,2,0,2,6,347,0.0,0.0,0.0,,,
main,12,E_persist,assignment_provenance,unresolved,partitioned_rf,54,14,3,17,0.3148148148148148,11,11,0,6,37,0.7857142857142857,1.0,0.6470588235294118,,,
main,12,E_persist,assignment_provenance,unresolved,pooled_rf,54,14,3,17,0.3148148148148148,11,11,0,6,37,0.7857142857142857,1.0,0.6470588235294118,,,
main,12,E_persist,assignment_provenance,unresolved,xgb,54,14,3,17,0.3148148148148148,11,11,0,6,37,0.7857142857142857,1.0,0.6470588235294118,,,
main,12,E_persist,assignment_provenance,unresolved,persistence,54,14,3,17,0.3148148148148148,17,11,6,6,31,0.6470588235294118,0.6470588235294118,0.6470588235294118,,,
