method,horizon_months,country_key,tp,fp,fn,tn,n,f1,precision,recall
binary_history_xgb,6,Guatemala,18,42,8,167,235,0.4186046511627907,0.3,0.6923076923076923
binary_history_xgb,6,Guinea,0,4,4,103,111,0.0,0.0,0.0
binary_history_xgb,6,Guinea-Bissau,0,0,0,37,37,,,
binary_history_xgb,6,Haiti,162,88,11,11,272,0.7659574468085106,0.648,0.9364161849710982
binary_history_xgb,6,Honduras,21,69,12,46,148,0.34146341463414637,0.23333333333333334,0.6363636363636364
binary_history_xgb,6,Kenya,31,48,11,157,247,0.512396694214876,0.3924050632911392,0.7380952380952381
binary_history_xgb,6,Lebanon,71,26,27,40,164,0.7282051282051282,0.7319587628865979,0.7244897959183674
binary_history_xgb,6,Lesotho,16,6,3,15,40,0.7804878048780488,0.7272727272727273,0.8421052631578947
binary_history_xgb,6,Liberia,0,2,0,26,28,0.0,0.0,
binary_history_xgb,6,Madagascar,18,73,16,125,232,0.288,0.1978021978021978,0.5294117647058824
binary_history_xgb,6,Malawi,30,11,12,47,100,0.7228915662650602,0.7317073170731707,0.7142857142857143
binary_history_xgb,6,Mali,16,4,5,187,212,0.7804878048780488,0.8,0.7619047619047619
binary_history_xgb,6,Mauritania,0,2,2,166,170,0.0,0.0,0.0
binary_history_xgb,6,Mozambique,93,75,100,282,550,0.5152354570637119,0.5535714285714286,0.48186528497409326
binary_history_xgb,6,Namibia,16,7,24,12,59,0.5079365079365079,0.6956521739130435,0.4
binary_history_xgb,6,Niger,15,20,17,180,232,0.44776119402985076,0.42857142857142855,0.46875
binary_history_xgb,6,Nigeria,184,127,162,2202,2675,0.5601217656012176,0.5916398713826366,0.5317919075144508
binary_history_xgb,6,Pakistan,100,90,19,43,252,0.6472491909385113,0.5263157894736842,0.8403361344537815
binary_history_xgb,6,"Palestine, State of",13,0,0,0,13,1.0,1.0,1.0
binary_history_xgb,6,Senegal,0,0,6,193,199,0.0,,0.0
binary_history_xgb,6,Sierra Leone,2,12,9,57,80,0.16,0.14285714285714285,0.18181818181818182
binary_history_xgb,6,Somalia,620,471,408,976,2475,0.585181689476168,0.5682859761686526,0.603112840466926
binary_history_xgb,6,South Africa,5,2,1,9,17,0.7692307692307693,0.7142857142857143,0.8333333333333334
binary_history_xgb,6,South Sudan,304,40,28,20,392,0.8994082840236687,0.8837209302325582,0.9156626506024096
binary_history_xgb,6,Sudan,130,24,38,23,215,0.8074534161490683,0.8441558441558441,0.7738095238095238
binary_history_xgb,6,Tajikistan,6,0,0,0,6,1.0,1.0,1.0
binary_history_xgb,6,"Tanzania, United Republic of",0,14,2,122,138,0.0,0.0,0.0
binary_history_xgb,6,Timor-Leste,2,1,8,3,14,0.3076923076923077,0.6666666666666666,0.2
binary_history_xgb,6,Togo,4,11,9,156,180,0.2857142857142857,0.26666666666666666,0.3076923076923077
binary_history_xgb,6,Uganda,83,56,78,146,363,0.5533333333333333,0.5971223021582733,0.515527950310559
binary_history_xgb,6,Yemen,616,11,37,0,664,0.9625,0.9824561403508771,0.9433384379785605
binary_history_xgb,6,Zambia,92,134,93,111,430,0.44768856447688565,0.40707964601769914,0.4972972972972973
binary_history_xgb,6,Zimbabwe,14,12,1,1,28,0.6829268292682927,0.5384615384615384,0.9333333333333333
binary_history_xgb,12,Afghanistan,69,88,13,30,200,0.5774058577405857,0.4394904458598726,0.8414634146341463
binary_history_xgb,12,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
binary_history_xgb,12,Bangladesh,16,4,0,17,37,0.8888888888888888,0.8,1.0
binary_history_xgb,12,Benin,0,0,1,187,188,0.0,,0.0
binary_history_xgb,12,Burkina Faso,10,9,19,76,114,0.4166666666666667,0.5263157894736842,0.3448275862068966
binary_history_xgb,12,Burundi,0,0,3,46,49,0.0,,0.0
binary_history_xgb,12,Cabo Verde,0,0,0,19,19,,,
binary_history_xgb,12,Cameroon,25,20,16,147,208,0.5813953488372093,0.5555555555555556,0.6097560975609756
binary_history_xgb,12,Central African Republic,469,153,22,83,727,0.8427672955974843,0.7540192926045016,0.955193482688391
binary_history_xgb,12,Chad,18,14,42,203,277,0.391304347826087,0.5625,0.3
binary_history_xgb,12,"Congo, The Democratic Republic of the",168,101,101,251,621,0.6245353159851301,0.6245353159851301,0.6245353159851301
binary_history_xgb,12,Côte d'Ivoire,0,0,1,123,124,0.0,,0.0
binary_history_xgb,12,Djibouti,27,17,5,23,72,0.7105263157894737,0.6136363636363636,0.84375
binary_history_xgb,12,Dominican Republic,3,3,20,29,55,0.20689655172413793,0.5,0.13043478260869565
binary_history_xgb,12,El Salvador,1,2,11,43,57,0.13333333333333333,0.3333333333333333,0.08333333333333333
binary_history_xgb,12,Eswatini,9,7,2,14,32,0.6666666666666666,0.5625,0.8181818181818182
binary_history_xgb,12,Ethiopia,40,28,3,2,73,0.7207207207207207,0.5882352941176471,0.9302325581395349
binary_history_xgb,12,Gambia,0,0,0,24,24,,,
binary_history_xgb,12,Ghana,6,9,29,155,199,0.24,0.4,0.17142857142857143
binary_history_xgb,12,Guatemala,13,41,8,150,212,0.3466666666666667,0.24074074074074073,0.6190476190476191
binary_history_xgb,12,Guinea,0,0,4,101,105,0.0,,0.0
binary_history_xgb,12,Guinea-Bissau,0,0,0,30,30,,,
binary_history_xgb,12,Haiti,122,82,11,11,226,0.7240356083086054,0.5980392156862745,0.9172932330827067
binary_history_xgb,12,Honduras,16,53,12,53,134,0.32989690721649484,0.2318840579710145,0.5714285714285714
binary_history_xgb,12,Kenya,20,65,13,110,208,0.3389830508474576,0.23529411764705882,0.6060606060606061
binary_history_xgb,12,Lebanon,60,11,32,33,136,0.7361963190184049,0.8450704225352113,0.6521739130434783
binary_history_xgb,12,Lesotho,10,8,3,9,30,0.6451612903225806,0.5555555555555556,0.7692307692307693
binary_history_xgb,12,Liberia,0,4,0,24,28,0.0,0.0,
binary_history_xgb,12,Madagascar,18,65,7,93,183,0.3333333333333333,0.21686746987951808,0.72
binary_history_xgb,12,Malawi,17,10,11,30,68,0.6181818181818182,0.6296296296296297,0.6071428571428571
binary_history_xgb,12,Mali,9,2,10,143,164,0.6,0.8181818181818182,0.47368421052631576
binary_history_xgb,12,Mauritania,0,4,2,124,130,0.0,0.0,0.0
binary_history_xgb,12,Mozambique,93,75,100,282,550,0.5152354570637119,0.5535714285714286,0.48186528497409326
binary_history_xgb,12,Namibia,12,6,25,2,45,0.43636363636363634,0.6666666666666666,0.32432432432432434
binary_history_xgb,12,Niger,8,12,16,137,173,0.36363636363636365,0.4,0.3333333333333333
binary_history_xgb,12,Nigeria,151,98,165,1734,2148,0.5345132743362832,0.606425702811245,0.4778481012658228
binary_history_xgb,12,Pakistan,81,77,13,36,207,0.6428571428571429,0.5126582278481012,0.8617021276595744
binary_history_xgb,12,"Palestine, State of",9,0,0,0,9,1.0,1.0,1.0
binary_history_xgb,12,Senegal,0,6,6,144,156,0.0,0.0,0.0
binary_history_xgb,12,Sierra Leone,3,8,4,49,64,0.3333333333333333,0.2727272727272727,0.42857142857142855
binary_history_xgb,12,Somalia,666,478,250,703,2097,0.6466019417475728,0.5821678321678322,0.7270742358078602
binary_history_xgb,12,South Africa,4,4,2,7,17,0.5714285714285714,0.5,0.6666666666666666
binary_history_xgb,12,South Sudan,244,37,16,18,315,0.9020332717190388,0.8683274021352313,0.9384615384615385
binary_history_xgb,12,Sudan,80,32,86,10,208,0.5755395683453237,0.7142857142857143,0.4819277108433735
binary_history_xgb,12,Tajikistan,3,0,0,0,3,1.0,1.0,1.0
binary_history_xgb,12,"Tanzania, United Republic of",0,21,2,103,126,0.0,0.0,0.0
binary_history_xgb,12,Togo,0,6,13,125,144,0.0,0.0,0.0
binary_history_xgb,12,Uganda,72,47,84,148,351,0.5236363636363637,0.6050420168067226,0.46153846153846156
binary_history_xgb,12,Yemen,624,8,29,0,661,0.9712062256809338,0.9873417721518988,0.9555895865237366
binary_history_xgb,12,Zambia,69,129,79,81,358,0.3988439306358382,0.3484848484848485,0.46621621621621623
binary_history_xgb,12,Zimbabwe,14,12,1,1,28,0.6829268292682927,0.5384615384615384,0.9333333333333333
correction_xgb,1,Afghanistan,154,107,32,44,337,0.6890380313199105,0.5900383141762452,0.8279569892473119
correction_xgb,1,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
correction_xgb,1,Bangladesh,25,8,0,17,50,0.8620689655172413,0.7575757575757576,1.0
correction_xgb,1,Benin,0,0,1,245,246,0.0,,0.0
correction_xgb,1,Burkina Faso,22,15,21,100,158,0.55,0.5945945945945946,0.5116279069767442
correction_xgb,1,Burundi,0,0,3,62,65,0.0,,0.0
correction_xgb,1,Cabo Verde,0,1,0,37,38,0.0,0.0,
correction_xgb,1,Cameroon,25,26,26,181,258,0.49019607843137253,0.49019607843137253,0.49019607843137253
correction_xgb,1,Central African Republic,611,161,134,137,1043,0.8055372445616348,0.7914507772020726,0.8201342281879195
correction_xgb,1,Chad,17,42,49,237,345,0.272,0.288135593220339,0.25757575757575757
correction_xgb,1,"Congo, The Democratic Republic of the",268,130,112,354,864,0.6889460154241646,0.6733668341708543,0.7052631578947368
correction_xgb,1,Côte d'Ivoire,0,1,1,153,155,0.0,0.0,0.0
correction_xgb,1,Djibouti,24,20,18,25,87,0.5581395348837209,0.5454545454545454,0.5714285714285714
